"F"	"Date"	"Hmsec"	"ID"	"Event"	"Channel"	"Dur"	"Clks"	"Freq"	"Edges"	"Reps"	"Type"	"TagID_hex"	"Mfr"	"TagID"	"feeder"
"D "	"2022-02-04 09:16:45"	196	"c1935 "	82	0	114855	61559	126720	1	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:17:11"	896	"c1935 "	83	0	106855	0	125184	0	0	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:17:11"	648	"c1935 "	83	0	114855	27	126208	156	1	1	"0300024FEF"	NA	NA	"F01"
"D "	"2022-02-04 09:17:12"	650	"c1935 "	83	0	106855	37	126208	843	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:18:30"	270	"c1935 "	84	0	2	62210	126208	1	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:20:09"	667	"c1935 "	85	0	119946	17899	126464	1	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:20:48"	847	"c1935 "	86	0	121943	43148	126208	1	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:41"	197	"c1935 "	87	0	68103	15	126208	334	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:43"	423	"c1935 "	88	0	9378	30816	126208	1	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:44"	895	"c1935 "	89	0	2405	51	125952	444	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:45"	1021	"c1935 "	90	0	3813	18492	126208	1	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:46"	447	"c1935 "	91	0	3362	18496	126464	1	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:46"	747	"c1935 "	92	0	15886	18501	126464	1	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:46"	73	"c1935 "	93	0	4767	18514	126208	1	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:47"	296	"c1935 "	94	0	2007	30872	126208	1	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:48"	847	"c1935 "	95	0	57567	49364	126464	1	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:48"	569	"c1935 "	96	0	0	2937	126208	759	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:49"	870	"c1935 "	97	0	0	18528	126208	1	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:50"	519	"c1935 "	98	0	107285	1083	126464	3	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:51"	970	"c1935 "	99	0	105573	7	126208	296	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:52"	297	"c1935 "	100	0	2348	94725	126208	640	2	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:54"	582	"c1935 "	101	0	107285	480	125952	961	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:55"	225	"c1935 "	102	0	106527	39	125952	725	1	0	""	NA	NA	"F01"
"T "	"2022-02-04 09:21:56"	376	"c1935 "	102	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	"F01"
"S"	""	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:56"	715	"c1935 "	103	0	44301	29	125952	314	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:56"	980	"c1935 "	104	0	44303	797	126464	293	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:57"	332	"c1935 "	105	0	98767	793	126208	159	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:57"	902	"c1935 "	106	0	100013	796	126464	288	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:57"	257	"c1935 "	107	0	107285	513	125952	241	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:58"	918	"c1935 "	108	0	14645	7	126464	584	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:21:59"	336	"c1935 "	109	0	111943	809	126464	160	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:22:00"	550	"c1935 "	110	0	2006	459	126208	228	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:22:02"	245	"c1935 "	111	0	107285	35	125952	310	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:22:06"	346	"c1935 "	112	0	129014	125174	126464	2110	7	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:22:12"	172	"c1935 "	113	0	2	32	125952	798	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:22:13"	322	"c1935 "	114	0	3362	74636	126208	899	5	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:22:17"	818	"c1935 "	115	0	107285	20385	126208	3	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:22:17"	273	"c1935 "	116	0	1511	62200	125952	737	4	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:22:21"	46	"c1935 "	117	0	1657	42	125440	423	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:22:22"	71	"c1935 "	118	0	3451	49851	126208	1545	4	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:22:25"	97	"c1935 "	119	0	5143	6863	126208	275	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:22:26"	747	"c1935 "	120	0	3743	30813	126208	1	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:22:26"	449	"c1935 "	121	0	4618	4	125952	657	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:22:27"	144	"c1935 "	122	0	3609	15	126208	44	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:22:28"	593	"c1935 "	123	0	125655	20497	126208	23	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:22:28"	20	"c1935 "	124	0	5361	23	125952	162	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:22:29"	145	"c1935 "	125	0	4859	12257	126208	168	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:22:30"	994	"c1935 "	126	0	4042	20663	126208	724	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:22:31"	1020	"c1935 "	127	0	5069	20536	126208	491	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:22:32"	72	"c1935 "	128	0	1783	39393	126208	494	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:22:33"	419	"c1935 "	129	0	4359	714365	126208	1324	20	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:22:51"	70	"c1935 "	130	0	3096	279866	126464	8	6	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:22:57"	172	"c1935 "	131	0	3617	104603	126208	2	2	0	""	NA	NA	"F01"
"T "	"2022-02-04 09:23:00"	829	"c1935 "	132	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	"F01"
"S"	""	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	"F01"
"D "	"2022-02-04 09:22:59"	191	"c1935 "	132	0	129096	735030	126208	5005	26	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:23:24"	967	"c1935 "	133	0	5442	42343	126464	796	4	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:23:28"	445	"c1935 "	134	0	128642	18436	126208	1	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:24:27"	615	"c1935 "	135	0	57567	45210	126208	1	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:24:28"	992	"c1935 "	136	0	122994	30785	126464	1	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:25:51"	245	"c1935 "	137	0	0	61564	126208	1	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:25:54"	770	"c1935 "	138	0	0	422734	126208	12	10	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:26:10"	272	"c1935 "	139	0	0	0	125952	0	0	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:26:10"	949	"c1935 "	139	0	68629	27	126464	156	1	1	"0300024FEF"	NA	NA	"F01"
"D "	"2022-02-04 09:26:10"	950	"c1935 "	139	0	14472	225	126464	25	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:26:43"	742	"c1935 "	140	0	101285	0	125696	0	0	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:26:43"	445	"c1935 "	140	0	14645	28	125696	155	1	1	"0300024FEF"	NA	NA	"F01"
"D "	"2022-02-04 09:26:44"	446	"c1935 "	140	0	111943	224	125696	49	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:28:58"	748	"c1935 "	141	0	3743	18498	126464	1	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:29:11"	871	"c1935 "	142	0	4359	32232	126208	1	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:29:30"	221	"c1935 "	143	0	3664	61609	126464	1	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:29:33"	997	"c1935 "	144	0	10692	425554	126208	11	11	0	""	NA	NA	"F01"
"D "	"2022-02-04 09:30:14"	446	"c1935 "	145	0	8096	41	126208	4	1	0	""	NA	NA	"F01"
"T "	"2022-02-04 09:40:26"	790	"c1935 "	145	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	"F01"
"S"	""	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	"F01"
"D "	"2022-02-04 10:01:13"	935	"c1935 "	146	0	14733	0	126208	0	0	0	""	NA	NA	"F01"
"D "	"2022-02-04 10:01:13"	467	"c1935 "	146	0	0	32	126464	264	2	1	"01103FC949"	NA	NA	"F01"
"D "	"2022-02-04 10:01:15"	495	"c1935 "	146	0	0	59124	126464	187	3	0	""	NA	NA	"F01"
"T "	"2022-02-04 10:50:25"	323	"c1935 "	146	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	"F01"
"S"	""	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	"F01"
"D "	"2022-02-04 11:06:31"	15	"c1935 "	147	0	59711	0	125952	0	0	0	""	NA	NA	"F01"
"D "	"2022-02-04 11:06:32"	770	"c1935 "	147	0	6	39	126208	426	3	1	"01103F7DB1"	NA	NA	"F01"
"D "	"2022-02-04 11:06:33"	98	"c1935 "	147	0	59711	21310	126208	155	2	0	""	NA	NA	"F01"
"D "	"2022-02-04 11:17:32"	464	"c1935 "	148	0	3	118126	125184	845	4	0	""	NA	NA	"F01"
"D "	"2022-02-04 11:17:36"	871	"c1935 "	148	0	105573	51	126464	1168	5	1	"01103F3BED"	NA	NA	"F01"
"D "	"2022-02-04 11:17:39"	104	"c1935 "	148	0	101285	55450	125952	155	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 11:17:40"	123	"c1935 "	148	0	121015	27	126208	174	1	1	"01103F3BED"	NA	NA	"F01"
"D "	"2022-02-04 11:17:41"	954	"c1935 "	148	0	121015	68403	126464	12	2	0	""	NA	NA	"F01"
"D "	"2022-02-04 11:17:41"	946	"c1935 "	148	0	121015	27	126208	566	1	1	"01103F3BED"	NA	NA	"F01"
"D "	"2022-02-04 11:17:42"	583	"c1935 "	148	0	119015	76544	125696	112	2	0	""	NA	NA	"F01"
"D "	"2022-02-04 11:17:43"	794	"c1935 "	148	0	119945	35	125952	272	2	1	"01103F3BED"	NA	NA	"F01"
"D "	"2022-02-04 11:17:44"	795	"c1935 "	148	0	117944	227	125952	5	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 11:18:01"	555	"c1935 "	149	0	121944	61576	125952	412	2	0	""	NA	NA	"F01"
"D "	"2022-02-04 11:18:03"	43	"c1935 "	149	0	111944	52	126208	946	5	1	"01103FE3B3"	NA	NA	"F01"
"D "	"2022-02-04 11:19:41"	137	"c1935 "	150	0	119944	0	126208	0	0	0	""	NA	NA	"F01"
"D "	"2022-02-04 11:19:41"	143	"c1935 "	150	0	117945	28	126464	130	1	1	"01103FE3B3"	NA	NA	"F01"
"D "	"2022-02-04 11:19:42"	701	"c1935 "	150	0	123945	59	125440	308	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 11:19:42"	322	"c1935 "	150	0	117947	52	125952	947	5	1	"01103FE3B3"	NA	NA	"F01"
"T "	"2022-02-04 11:40:03"	629	"c1935 "	150	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	"F01"
"S"	""	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	"F01"
"D "	"2022-02-04 11:50:33"	984	"c1935 "	151	0	121925	0	125440	0	0	0	""	NA	NA	"F01"
"D "	"2022-02-04 11:50:33"	42	"c1935 "	151	0	120997	38	126464	408	3	1	"01103F3BED"	NA	NA	"F01"
"D "	"2022-02-04 11:50:36"	526	"c1935 "	151	0	59711	61537	126208	3	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 11:50:36"	518	"c1935 "	151	0	59711	26	126464	174	1	1	"01103F3BED"	NA	NA	"F01"
"D "	"2022-02-04 11:50:37"	898	"c1935 "	151	0	5	66706	125952	201	3	0	""	NA	NA	"F01"
"D "	"2022-02-04 11:50:47"	339	"c1935 "	152	0	13781	0	125952	0	0	0	""	NA	NA	"F01"
"D "	"2022-02-04 11:50:47"	221	"c1935 "	152	0	8005	33	125952	1032	2	1	"01103FE3B3"	NA	NA	"F01"
"D "	"2022-02-04 11:50:49"	506	"c1935 "	152	0	6005	48	125952	528	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 11:50:49"	22	"c1935 "	152	0	59711	39	125440	586	3	1	"01103FE3B3"	NA	NA	"F01"
"D "	"2022-02-04 11:52:30"	439	"c1935 "	153	0	5	48323	125952	149	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 11:52:31"	97	"c1935 "	153	0	2005	28	126208	140	1	1	"01103F49F0"	NA	NA	"F01"
"D "	"2022-02-04 11:52:32"	99	"c1935 "	153	0	2005	6206	126208	3	1	0	""	NA	NA	"F01"
"D "	"2022-02-04 11:57:39"	780	"c1935 "	154	0	104875	0	125440	0	0	0	""	NA	NA	"F01"
"D "	"2022-02-04 11:57:39"	797	"c1935 "	154	0	100878	34	126464	442	2	1	"01103F9ECD"	NA	NA	"F01"
"D "	"2022-02-04 11:57:41"	973	"c1935 "	155	0	93807	304427	126208	6	7	0	""	NA	NA	"F01"
"T "	"2022-02-04 12:19:28"	257	"c1935 "	155	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	"F01"
"S"	""	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	"F01"
"D "	"2022-02-04 13:41:50"	414	"c1935 "	156	0	90740	0	125952	0	0	0	""	NA	NA	"F01"
"D "	"2022-02-04 13:41:50"	619	"c1935 "	156	0	114877	33	126208	268	2	1	"01103F9ECD"	NA	NA	"F01"
"D "	"2022-02-04 13:41:51"	971	"c1935 "	156	0	89808	38237	126208	43	2	0	""	NA	NA	"F01"
"T "	"2022-02-04 14:06:51"	288	"c1935 "	156	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	"F01"
"S"	""	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	"F01"
"D "	"2022-02-05 09:14:36"	513	"c1935 "	157	0	126996	0	126208	0	0	0	""	NA	NA	"F01"
"D "	"2022-02-05 09:14:36"	994	"c1935 "	157	0	68629	27	126208	134	1	1	"01103FA9CB"	NA	NA	"F01"
"T "	"2022-02-05 09:49:17"	613	"c1935 "	157	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	"F01"
"S"	""	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	"F01"
"D "	"2022-02-05 10:02:38"	253	"c1935 "	158	0	3924	0	124928	0	0	0	""	NA	NA	"F01"
"D "	"2022-02-05 10:02:39"	543	"c1935 "	158	0	126996	32	126208	605	2	1	"01103F6817"	NA	NA	"F01"
"D "	"2022-02-05 10:02:40"	571	"c1935 "	158	0	128996	64312	126208	101	3	0	""	NA	NA	"F01"
"D "	"2022-02-05 10:17:37"	909	"c1935 "	159	0	117945	57000	125952	51	1	0	""	NA	NA	"F01"
"D "	"2022-02-05 10:17:38"	993	"c1935 "	159	0	111945	39	126208	426	3	1	"01103F7DB1"	NA	NA	"F01"
"D "	"2022-02-05 10:17:40"	471	"c1935 "	159	0	123945	44244	126208	6	2	0	""	NA	NA	"F01"
"D "	"2022-02-05 10:28:31"	645	"c1935 "	160	0	106877	50812	125440	366	3	0	""	NA	NA	"F01"
"D "	"2022-02-05 10:28:34"	246	"c1935 "	160	0	89809	33	126464	480	2	1	"01103FBA74"	NA	NA	"F01"
"D "	"2022-02-05 10:28:36"	859	"c1935 "	160	0	89808	96468	126208	51	3	0	""	NA	NA	"F01"
"D "	"2022-02-05 10:28:37"	372	"c1935 "	160	0	89809	34	125440	441	2	1	"01103FBA74"	NA	NA	"F01"
"D "	"2022-02-05 10:28:39"	534	"c1935 "	160	0	83809	18	125440	176	1	0	""	NA	NA	"F01"
"D "	"2022-02-05 10:28:39"	70	"c1935 "	160	0	2705	64	125696	972	7	1	"01103FBA74"	NA	NA	"F01"
"T "	"2022-02-05 10:36:02"	369	"c1935 "	160	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	"F01"
"S"	""	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	"F01"
"D "	"2022-02-05 11:41:40"	638	"c1935 "	161	0	128997	371	125184	626	1	0	""	NA	NA	"F01"
"D "	"2022-02-05 11:41:41"	470	"c1935 "	161	0	128997	38	126464	532	3	1	"01103FE02C"	NA	NA	"F01"
"D "	"2022-02-05 11:41:43"	421	"c1935 "	161	0	3925	6000	125696	142	2	0	""	NA	NA	"F01"
"D "	"2022-02-05 11:41:44"	422	"c1935 "	161	0	126997	27	126464	228	1	1	"01103FE02C"	NA	NA	"F01"
"D "	"2022-02-05 11:41:45"	714	"c1935 "	161	0	59711	64059	125696	339	3	0	""	NA	NA	"F01"
"D "	"2022-02-05 11:41:46"	465	"c1935 "	161	0	5	27	126208	140	1	1	"01103FE02C"	NA	NA	"F01"
"D "	"2022-02-05 11:41:47"	683	"c1935 "	161	0	13685	5	125952	555	1	0	""	NA	NA	"F01"
"D "	"2022-02-05 11:41:47"	91	"c1935 "	161	0	109925	27	125952	140	1	1	"01103FE02C"	NA	NA	"F01"
"T "	"2022-02-05 12:30:28"	453	"c1935 "	161	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	"F01"
"S"	""	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	"F01"
"D "	"2022-02-05 12:46:01"	11	"c1935 "	162	0	88710	0	125952	0	0	0	""	NA	NA	"F01"
"D "	"2022-02-05 12:46:02"	219	"c1935 "	162	0	106854	51	126208	644	5	1	"01103FC958"	NA	NA	"F01"
"D "	"2022-02-05 12:46:05"	434	"c1935 "	162	0	89782	43803	125952	831	2	0	""	NA	NA	"F01"
"D "	"2022-02-05 12:46:06"	616	"c1935 "	162	0	83782	33	126208	275	2	1	"01103FC958"	NA	NA	"F01"
"D "	"2022-02-05 12:46:07"	378	"c1935 "	162	0	4006	84860	125952	267	3	0	""	NA	NA	"F01"
"D "	"2022-02-05 12:46:09"	666	"c1935 "	162	0	4007	45	126208	662	4	1	"01103FC958"	NA	NA	"F01"
"D "	"2022-02-05 12:46:11"	1018	"c1935 "	162	0	2006	26369	126208	4	2	0	""	NA	NA	"F01"
"T "	"2022-02-05 13:20:44"	7	"c1935 "	162	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	"F01"
"S"	""	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	"F01"
"D "	"2022-02-06 02:26:59"	496	"c1935 "	163	0	59711	280302	130816	14	8	0	""	NA	NA	"F01"
"T "	"2022-02-06 02:37:27"	974	"c1935 "	163	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	"F01"
"S"	""	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	"F01"
"D "	"2022-02-06 10:34:33"	686	"c1935 "	164	0	119925	0	125952	0	0	0	""	NA	NA	"F01"
"D "	"2022-02-06 10:34:33"	616	"c1935 "	164	0	113925	44	126208	544	4	1	"01103FDF3E"	NA	NA	"F01"
"D "	"2022-02-06 10:34:35"	617	"c1935 "	164	0	115925	12731	126208	1	1	0	""	NA	NA	"F01"
"D "	"2022-02-06 10:34:35"	885	"c1935 "	165	0	111925	0	125696	0	0	0	""	NA	NA	"F01"
"D "	"2022-02-06 10:34:35"	891	"c1935 "	165	0	119925	27	126464	140	1	1	"01103FE02C"	NA	NA	"F01"
"D "	"2022-02-06 10:34:36"	88	"c1935 "	165	0	59711	61675	124928	5	1	0	""	NA	NA	"F01"
"D "	"2022-02-06 10:34:37"	319	"c1935 "	165	0	59711	39	126208	676	3	1	"01103FE02C"	NA	NA	"F01"
"D "	"2022-02-06 10:34:39"	128	"c1935 "	165	0	119925	7224	126208	134	2	0	""	NA	NA	"F01"
"D "	"2022-02-06 10:34:40"	116	"c1935 "	165	0	59711	27	126208	603	1	1	"01103FE02C"	NA	NA	"F01"
"D "	"2022-02-06 10:34:41"	359	"c1935 "	165	0	59711	301	125440	7	1	0	""	NA	NA	"F01"
"D "	"2022-02-06 10:34:41"	817	"c1935 "	165	0	59701	27	125440	160	1	1	"01103FE02C"	NA	NA	"F01"
"D "	"2022-02-06 10:34:45"	620	"c1935 "	166	0	59701	204530	125952	5	5	0	""	NA	NA	"F01"
"D "	"2022-02-06 10:44:09"	488	"c1935 "	167	0	68629	0	125952	0	0	0	""	NA	NA	"F01"
"D "	"2022-02-06 10:44:09"	438	"c1935 "	167	0	101285	40	126208	506	3	1	"01103FE66A"	NA	NA	"F01"
"D "	"2022-02-06 10:44:11"	60	"c1935 "	167	0	112875	40368	125952	222	2	0	""	NA	NA	"F01"
"D "	"2022-02-06 10:44:12"	792	"c1935 "	167	0	117945	28	126208	134	1	1	"01103FE66A"	NA	NA	"F01"
"D "	"2022-02-06 10:44:12"	794	"c1935 "	167	0	117944	6588	126208	3	1	0	""	NA	NA	"F01"
"D "	"2022-02-06 10:49:37"	868	"c1935 "	168	0	111945	245296	158720	12	8	0	""	NA	NA	"F01"
"D "	"2022-02-06 10:49:50"	745	"c1935 "	169	0	59711	123511	147456	3	3	0	""	NA	NA	"F01"
"T "	"2022-02-06 11:08:17"	727	"c1935 "	169	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	"F01"
"S"	""	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	"F01"
"D "	"2022-02-06 11:33:18"	112	"c1935 "	170	0	95808	0	125952	0	0	0	""	NA	NA	"F01"
"D "	"2022-02-06 11:33:18"	271	"c1935 "	170	0	91809	50	126208	650	5	1	"01103FE42F"	NA	NA	"F01"
"D "	"2022-02-06 11:33:21"	129	"c1935 "	170	0	91809	43960	125952	12	2	0	""	NA	NA	"F01"
"D "	"2022-02-06 11:33:22"	194	"c1935 "	170	0	91810	39	126208	1280	3	1	"01103FE42F"	NA	NA	"F01"
"D "	"2022-02-06 11:33:24"	695	"c1935 "	170	0	116878	62525	126208	6	2	0	""	NA	NA	"F01"
"D "	"2022-02-06 11:33:33"	609	"c1935 "	171	0	59711	61581	126976	1	1	0	""	NA	NA	"F01"
"D "	"2022-02-06 11:33:34"	617	"c1935 "	171	0	59701	27	126208	132	1	1	"01103FE16A"	NA	NA	"F01"
"D "	"2022-02-06 11:33:35"	512	"c1935 "	171	0	59701	58495	126464	672	2	0	""	NA	NA	"F01"
"D "	"2022-02-06 11:33:36"	695	"c1935 "	171	0	68629	40	126208	526	3	1	"01103FE16A"	NA	NA	"F01"
"D "	"2022-02-06 11:33:38"	846	"c1935 "	171	0	117945	28813	126208	106	1	0	""	NA	NA	"F01"
"D "	"2022-02-06 11:33:44"	579	"c1935 "	172	0	4043	0	125952	0	0	0	""	NA	NA	"F01"
"D "	"2022-02-06 11:33:44"	71	"c1935 "	172	0	2751	40	126208	830	3	1	"01103F9ECD"	NA	NA	"F01"
"D "	"2022-02-06 11:33:47"	222	"c1935 "	172	0	2751	6018	126208	126	1	0	""	NA	NA	"F01"
"T "	"2022-02-06 11:42:28"	35	"c1935 "	172	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	"F01"
"S"	""	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	"F01"
"D "	"2022-02-06 11:47:05"	722	"c1935 "	173	0	117924	0	126208	0	0	0	""	NA	NA	"F01"
"D "	"2022-02-06 11:47:05"	441	"c1935 "	173	0	127924	38	126464	558	3	1	"01103F9C82"	NA	NA	"F01"
"D "	"2022-02-06 11:47:07"	442	"c1935 "	173	0	59700	572	126464	4	1	0	""	NA	NA	"F01"
"D "	"2022-02-06 11:48:20"	811	"c1935 "	174	0	59700	0	125952	0	0	0	""	NA	NA	"F01"
"D "	"2022-02-06 11:48:20"	146	"c1935 "	174	0	59700	57	126208	828	6	1	"01103FD2FF"	NA	NA	"F01"
"D "	"2022-02-06 11:48:24"	147	"c1935 "	174	0	59700	18611	126208	3	1	0	""	NA	NA	"F01"
"D "	"2022-02-06 11:48:25"	962	"c1935 "	175	0	59711	62316	125952	1	1	0	""	NA	NA	"F01"
"D "	"2022-02-06 11:48:26"	346	"c1935 "	175	0	59711	33	126208	268	2	1	"01103F9ECD"	NA	NA	"F01"
"D "	"2022-02-06 11:48:28"	347	"c1935 "	175	0	59711	42912	126208	33	1	0	""	NA	NA	"F01"
"D "	"2022-02-06 11:48:44"	596	"c1935 "	176	0	59711	122173	126464	3	3	0	""	NA	NA	"F01"
"D "	"2022-02-06 11:49:44"	39	"c1935 "	177	0	59711	0	126208	0	0	0	""	NA	NA	"F01"
"D "	"2022-02-06 11:49:45"	970	"c1935 "	177	0	0	76	126208	1758	9	1	"01103FD2FF"	NA	NA	"F01"
"D "	"2022-02-06 11:49:49"	971	"c1935 "	177	0	0	18615	126208	3	1	0	""	NA	NA	"F01"
"D "	"2022-02-06 11:50:14"	514	"c1935 "	178	0	1	0	126208	0	0	0	""	NA	NA	"F01"
"D "	"2022-02-06 11:50:14"	320	"c1935 "	178	0	105573	76	125952	1319	9	1	"01103FE111"	NA	NA	"F01"
"D "	"2022-02-06 11:50:19"	322	"c1935 "	178	0	101285	6901	125952	3	1	0	""	NA	NA	"F01"
"D "	"2022-02-06 11:52:35"	846	"c1935 "	179	0	89809	251041	126464	8	6	0	""	NA	NA	"F01"
"D "	"2022-02-06 11:52:41"	357	"c1935 "	180	0	94740	0	125184	0	0	0	""	NA	NA	"F01"
"D "	"2022-02-06 11:52:41"	641	"c1935 "	180	0	100877	34	126464	402	2	1	"01103F7DB1"	NA	NA	"F01"
"D "	"2022-02-06 11:52:42"	198	"c1935 "	180	0	108877	16435	125952	202	1	0	""	NA	NA	"F01"
"D "	"2022-02-06 11:52:43"	170	"c1935 "	180	0	85809	47	126464	714	4	1	"01103F7DB1"	NA	NA	"F01"
"D "	"2022-02-06 11:54:03"	146	"c1935 "	181	0	97809	262340	125952	10	8	0	""	NA	NA	"F01"
"D "	"2022-02-06 11:58:59"	793	"c1935 "	182	0	2751	0	125952	0	0	0	""	NA	NA	"F01"
"D "	"2022-02-06 11:58:59"	143	"c1935 "	182	0	4388	48	126208	514	4	1	"3B0018D8D2"	NA	NA	"F01"
"D "	"2022-02-06 11:59:02"	833	"c1935 "	182	0	4388	43900	125696	3	1	0	""	NA	NA	"F01"
"D "	"2022-02-06 11:59:02"	819	"c1935 "	182	0	4388	29	126208	327	1	1	"3B0018D8D2"	NA	NA	"F01"
"D "	"2022-02-06 11:59:03"	725	"c1935 "	182	0	1057	55853	125952	86	2	0	""	NA	NA	"F01"
"D "	"2022-02-06 11:59:04"	721	"c1935 "	182	0	2849	29	126208	170	1	1	"3B0018D8D2"	NA	NA	"F01"
"D "	"2022-02-06 11:59:05"	85	"c1935 "	182	0	2849	19235	124928	5	1	0	""	NA	NA	"F01"
