"date"	"dateTime"	"Hmsec"	"ID"	"Event"	"Channel"	"Dur"	"Clks"	"Freq"	"Edges"	"Reps"	"Type"	"TagID_hex"	"feeder"	"dateRinged"	"timeRinged"	"btoRingType"	"btoID"	"species"	"pitTYPE"	"age"	"sex"	"wing"	"weight"	"timeSincePreviousVisit"
2022-02-04	2022-02-04 11:51:07	147	"c1931 "	15601	0	122875	78	124416	1170	9	1	"01103FE42F"	"F02"	"17/10/2021"	"11:32"	"R"	"AKL0789"	"GT"	"R"	4	"M"	79	20.1	"7"
2022-02-04	2022-02-04 11:51:47	171	"c1931 "	15601	0	118876	37	124672	272	2	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"63"
2022-02-04	2022-02-04 11:52:31	97	"c1935 "	153	0	2005	28	126208	140	1	1	"01103F49F0"	"F01"	"03/10/2021"	"11:49"	"R"	"AAJ5755"	"GT"	"R"	4	"M"	77	18.3	"firstVisit"
2022-02-04	2022-02-04 11:57:39	797	"c1935 "	154	0	100878	34	126464	442	2	1	"01103F9ECD"	"F01"	"09/11/2021"	"09:52"	"R"	"AKL0898"	"BT"	"R"	4	""	64	10.7	"firstVisit"
2022-02-04	2022-02-04 11:58:50	694	"c1931 "	15601	0	109	79	124672	1270	9	1	"01103FE02C"	"F02"	"13/10/2022"	"10:35"	"R"	"AJT8189"	"GT"	"R"	4	"M"	76	18.9	"firstVisit"
2022-02-04	2022-02-04 12:21:37	446	"c1931 "	15601	0	1993	32	124672	272	2	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"62"
2022-02-04	2022-02-04 12:22:01	529	"c1931 "	15601	0	70090	87	124416	1926	11	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"5"
2022-02-04	2022-02-04 12:22:22	70	"c1931 "	15601	0	11914	57	124672	1026	6	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"6"
2022-02-04	2022-02-04 12:56:59	670	"c1931 "	15601	0	105807	27	124672	136	1	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"2077"
2022-02-04	2022-02-04 12:57:03	546	"c1931 "	15601	0	118877	28	124416	136	1	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"4"
2022-02-04	2022-02-04 12:57:10	70	"c1931 "	15601	0	116876	41	123648	864	3	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"6"
2022-02-04	2022-02-04 12:57:15	545	"c1931 "	15601	0	112876	58	124672	1282	6	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"5"
2022-02-04	2022-02-04 12:57:24	868	"c1931 "	15601	0	124607	89	124672	1496	11	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"9"
2022-02-04	2022-02-04 12:57:54	117	"c1931 "	15601	0	2018	36	124416	272	2	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"30"
