"Date"	"Hmsec"	"CounterID"	"RFID"	"BtwVisitInterval"	"WtnVisitInterval"
2019-05-01 12:04:16	"   6 "	"c1254 "	"041815A047"	1	5
2019-05-01 12:04:43	" 726 "	"c1254 "	"041815A047"	27	27
2019-05-01 12:04:52	" 138 "	"c1254 "	"041815A047"	9	9
2019-05-01 12:05:18	"1083 "	"c1254 "	"041815A047"	26	26
2019-05-01 12:08:17	" 701 "	"c1254 "	"041815A047"	147	179
2019-05-01 12:10:53	" 432 "	"c1254 "	"041815A047"	28	156
2019-05-01 12:10:59	" 761 "	"c1254 "	"041815A047"	6	6
2019-05-01 12:11:41	" 448 "	"c1254 "	"041815A047"	22	42
2019-05-01 12:12:08	" 164 "	"c1254 "	"041815A047"	27	27
2019-05-01 12:13:03	" 570 "	"c1254 "	"041815A047"	26	55
2019-05-01 12:15:56	" 643 "	"c1254 "	"041815A047"	173	173
2019-05-01 12:16:56	" 189 "	"c1254 "	"041815A047"	47	60
2019-05-01 12:17:03	" 533 "	"c1254 "	"041815A047"	7	7
2019-05-01 12:18:52	" 748 "	"c1254 "	"041815A047"	109	109
2019-05-01 12:19:02	" 957 "	"c1254 "	"041815A047"	10	10
2019-05-01 12:21:02	" 179 "	"c1254 "	"041815A047"	120	120
2019-05-01 12:21:22	"1003 "	"c1254 "	"041815A047"	20	20
2019-05-01 12:23:39	"1145 "	"c1254 "	"041815A047"	137	137
2019-05-01 12:33:02	" 957 "	"c1254 "	"041815A047"	563	563
2019-05-01 12:34:01	"1095 "	"c1254 "	"041815A047"	48	59
2019-05-01 12:34:16	" 372 "	"c1254 "	"041815A047"	15	15
2019-05-01 12:35:03	" 695 "	"c1254 "	"041815A047"	13	47
2019-05-01 12:35:15	"1149 "	"c1254 "	"041815A047"	12	12
2019-05-01 12:35:59	" 241 "	"c1254 "	"041815A047"	9	44
2019-05-01 12:36:07	" 646 "	"c1254 "	"041815A047"	8	8
2019-05-01 12:36:55	" 501 "	"c1254 "	"041815A047"	16	48
2019-05-01 12:37:02	" 233 "	"c1254 "	"041815A047"	7	7
2019-05-01 12:37:42	"1066 "	"c1254 "	"041815A047"	40	40
2019-05-01 12:40:26	" 875 "	"c1254 "	"041815A047"	164	164
2019-05-01 12:44:08	" 999 "	"c1254 "	"041815A047"	222	222
2019-05-01 12:45:49	" 616 "	"c1254 "	"041815A047"	101	101
2019-05-01 12:45:58	" 886 "	"c1254 "	"041815A047"	9	9
2019-05-01 12:45:59	"1101 "	"c1254 "	"041815A047"	1	1
2019-05-01 12:46:02	" 452 "	"c1254 "	"041815A047"	3	3
2019-05-01 12:46:04	"1066 "	"c1254 "	"041815A047"	2	2
2019-05-01 12:46:14	"  75 "	"c1254 "	"041815A047"	10	10
2019-05-01 12:46:20	"  68 "	"c1254 "	"041815A047"	6	6
