F 	Date            	Hmsec 	ID   	Event 	Old 	New 	Strain 	~Weight
D 	2022-02-07 10:29:58	 626 	c1931 	15666 	u   	d    	965059 	 2290
D 	2022-02-07 10:29:58	 675 	c1931 	15666 	u   	d    	965059 	 2290
D 	2022-02-07 10:29:58	 725 	c1931 	15666 	u   	d    	965059 	 2290
D 	2022-02-07 10:29:59	 702 	c1931 	15666 	d   	u    	-56974 	   29
D 	2022-02-07 10:30:04	 777 	c1931 	15667 	u   	d    	  677 	  157
D 	2022-02-07 10:30:04	 826 	c1931 	15667 	u   	d    	  677 	  157
D 	2022-02-07 10:30:04	 876 	c1931 	15667 	u   	d    	  677 	  157
D 	2022-02-07 10:30:04	 926 	c1931 	15667 	u   	d    	  677 	  157
D 	2022-02-07 10:30:05	 903 	c1931 	15667 	d   	u    	-58685 	   25
D 	2022-02-07 10:30:06	 177 	c1931 	15668 	u   	d    	-7820 	  138
D 	2022-02-07 10:30:06	 226 	c1931 	15668 	u   	d    	-7820 	  138
D 	2022-02-07 10:30:06	 276 	c1931 	15668 	u   	d    	-7820 	  138
D 	2022-02-07 10:30:06	 326 	c1931 	15668 	u   	d    	-7820 	  138
D 	2022-02-07 10:30:07	 453 	c1931 	15668 	d   	u    	-58995 	   24
D 	2022-02-07 10:38:52	 175 	c1931 	15669 	u   	d    	-17967 	   96
D 	2022-02-07 10:38:52	 224 	c1931 	15669 	u   	d    	-17967 	   96
D 	2022-02-07 10:38:52	 274 	c1931 	15669 	u   	d    	-17967 	   96
D 	2022-02-07 10:38:52	 324 	c1931 	15669 	u   	d    	-17967 	   96
D 	2022-02-07 10:38:52	 675 	c1931 	15669 	d   	u    	-49228 	   23
D 	2022-02-07 10:38:52	 875 	c1931 	15670 	u   	d    	-3168 	  130
D 	2022-02-07 10:38:52	 924 	c1931 	15670 	u   	d    	-3168 	  130
D 	2022-02-07 10:38:52	 974 	c1931 	15670 	u   	d    	-3168 	  130
D 	2022-02-07 10:38:53	   0 	c1931 	15670 	u   	d    	-3168 	  130
D 	2022-02-07 10:38:53	 201 	c1931 	15670 	d   	u    	-62705 	   -7
D 	2022-02-07 10:46:47	 398 	c1931 	15671 	u   	d    	-25878 	  112
D 	2022-02-07 10:46:47	 447 	c1931 	15671 	u   	d    	-25878 	  112
D 	2022-02-07 10:46:47	 497 	c1931 	15671 	u   	d    	-25878 	  112
D 	2022-02-07 10:46:47	 547 	c1931 	15671 	u   	d    	-25878 	  112
D 	2022-02-07 10:46:47	 699 	c1931 	15671 	d   	u    	-352813 	 -580
D 	2022-02-07 10:46:50	 526 	c1931 	15672 	u   	d    	55581 	  285
D 	2022-02-07 10:46:50	 575 	c1931 	15672 	u   	d    	55581 	  285
D 	2022-02-07 10:46:50	 625 	c1931 	15672 	u   	d    	55581 	  285
D 	2022-02-07 10:46:50	 675 	c1931 	15672 	u   	d    	55581 	  285
D 	2022-02-07 10:46:51	 353 	c1931 	15672 	d   	u    	-111014 	  -67
D 	2022-02-07 10:47:03	 403 	c1931 	15673 	u   	d    	251787 	  701
D 	2022-02-07 10:47:03	 451 	c1931 	15673 	u   	d    	251787 	  701
D 	2022-02-07 10:47:03	 501 	c1931 	15673 	u   	d    	251787 	  701
D 	2022-02-07 10:47:03	 551 	c1931 	15673 	u   	d    	251787 	  701
D 	2022-02-07 10:47:04	 122 	c1931 	15673 	d   	u    	-210759 	 -279
D 	2022-02-07 10:47:04	 322 	c1931 	15674 	u   	d    	47969 	  269
D 	2022-02-07 10:47:04	 371 	c1931 	15674 	u   	d    	47969 	  269
D 	2022-02-07 10:47:04	 421 	c1931 	15674 	u   	d    	47969 	  269
D 	2022-02-07 10:47:04	 471 	c1931 	15674 	u   	d    	47969 	  269
D 	2022-02-07 10:47:05	  83 	c1931 	15674 	d   	u    	-142595 	 -134
T 	2022-02-07 10:47:06	 938 	c1931 	15674 
S
D 	2022-02-07 10:47:08	 994 	c1931 	15675 	u   	d    	34670 	  241
D 	2022-02-07 10:47:09	  18 	c1931 	15675 	u   	d    	34670 	  241
D 	2022-02-07 10:47:09	  68 	c1931 	15675 	u   	d    	34670 	  241
D 	2022-02-07 10:47:09	 118 	c1931 	15675 	u   	d    	34670 	  241
D 	2022-02-07 10:47:09	 174 	c1931 	15675 	d   	u    	-121435 	  -89
D 	2022-02-07 10:48:21	 553 	c1931 	15676 	u   	d    	-28232 	  107
D 	2022-02-07 10:48:21	 602 	c1931 	15676 	u   	d    	-28232 	  107
D 	2022-02-07 10:48:21	 652 	c1931 	15676 	u   	d    	-28232 	  107
D 	2022-02-07 10:48:21	 702 	c1931 	15676 	u   	d    	-28232 	  107
D 	2022-02-07 10:48:22	 177 	c1931 	15676 	d   	u    	-160014 	 -171
D 	2022-02-07 10:48:22	 627 	c1931 	15677 	u   	d    	-34068 	   95
D 	2022-02-07 10:48:22	 675 	c1931 	15677 	u   	d    	-34068 	   95
D 	2022-02-07 10:48:22	 725 	c1931 	15677 	u   	d    	-34068 	   95
D 	2022-02-07 10:48:22	 775 	c1931 	15677 	u   	d    	-34068 	   95
D 	2022-02-07 10:48:22	 827 	c1931 	15677 	d   	u    	-130374 	 -108
D 	2022-02-07 10:48:27	 901 	c1931 	15678 	u   	d    	-39460 	   84
D 	2022-02-07 10:48:27	 950 	c1931 	15678 	u   	d    	-39460 	   84
D 	2022-02-07 10:48:27	1000 	c1931 	15678 	u   	d    	-39460 	   84
D 	2022-02-07 10:48:28	  26 	c1931 	15678 	u   	d    	-39460 	   84
D 	2022-02-07 10:48:28	 327 	c1931 	15678 	d   	u    	-65407 	   29
D 	2022-02-07 10:48:39	 301 	c1931 	15679 	u   	d    	20908 	  212
D 	2022-02-07 10:48:39	 350 	c1931 	15679 	u   	d    	20908 	  212
D 	2022-02-07 10:48:39	 400 	c1931 	15679 	u   	d    	20908 	  212
D 	2022-02-07 10:48:39	 450 	c1931 	15679 	u   	d    	20908 	  212
D 	2022-02-07 10:48:39	 552 	c1931 	15679 	d   	u    	-77475 	    3
D 	2022-02-07 10:48:52	 727 	c1931 	15680 	u   	d    	-29469 	  105
D 	2022-02-07 10:48:52	 776 	c1931 	15680 	u   	d    	-29469 	  105
D 	2022-02-07 10:48:52	 826 	c1931 	15680 	u   	d    	-29469 	  105
D 	2022-02-07 10:48:52	 876 	c1931 	15680 	u   	d    	-29469 	  105
D 	2022-02-07 10:48:52	 977 	c1931 	15680 	d   	u    	-79623 	   -1
D 	2022-02-07 10:48:54	 826 	c1931 	15681 	u   	d    	153601 	  493
D 	2022-02-07 10:48:54	 874 	c1931 	15681 	u   	d    	153601 	  493
D 	2022-02-07 10:48:54	 924 	c1931 	15681 	u   	d    	153601 	  493
D 	2022-02-07 10:48:54	 974 	c1931 	15681 	u   	d    	153601 	  493
D 	2022-02-07 10:48:55	   2 	c1931 	15681 	d   	u    	-132826 	 -113
D 	2022-02-07 10:49:01	 700 	c1931 	15682 	u   	d    	-37991 	   87
D 	2022-02-07 10:49:01	 749 	c1931 	15682 	u   	d    	-37991 	   87
D 	2022-02-07 10:49:01	 799 	c1931 	15682 	u   	d    	-37991 	   87
D 	2022-02-07 10:49:01	 849 	c1931 	15682 	u   	d    	-37991 	   87
D 	2022-02-07 10:50:15	 651 	c1931 	15682 	d   	u    	-129421 	 -106
D 	2022-02-07 10:50:16	 477 	c1931 	15683 	u   	d    	266837 	  733
D 	2022-02-07 10:50:16	 526 	c1931 	15683 	u   	d    	266837 	  733
D 	2022-02-07 10:50:16	 576 	c1931 	15683 	u   	d    	266837 	  733
D 	2022-02-07 10:50:16	 626 	c1931 	15683 	u   	d    	266837 	  733
D 	2022-02-07 10:50:24	 574 	c1931 	15683 	d   	u    	-94553 	  -32
D 	2022-02-07 10:50:27	 102 	c1931 	15684 	u   	d    	-31556 	  100
D 	2022-02-07 10:50:27	 151 	c1931 	15684 	u   	d    	-31556 	  100
D 	2022-02-07 10:50:27	 201 	c1931 	15684 	u   	d    	-31556 	  100
D 	2022-02-07 10:50:27	 251 	c1931 	15684 	u   	d    	-31556 	  100
D 	2022-02-07 10:50:28	  24 	c1931 	15684 	d   	u    	-170687 	 -194
D 	2022-02-07 10:50:28	 324 	c1931 	15685 	u   	d    	87706 	  353
D 	2022-02-07 10:50:28	 372 	c1931 	15685 	u   	d    	87706 	  353
D 	2022-02-07 10:50:28	 422 	c1931 	15685 	u   	d    	87706 	  353
D 	2022-02-07 10:50:28	 472 	c1931 	15685 	u   	d    	87706 	  353
D 	2022-02-07 10:50:29	 300 	c1931 	15685 	d   	u    	-79297 	    0
D 	2022-02-07 10:50:37	 503 	c1931 	15686 	u   	d    	42781 	  258
D 	2022-02-07 10:50:37	 552 	c1931 	15686 	u   	d    	42781 	  258
D 	2022-02-07 10:50:37	 602 	c1931 	15686 	u   	d    	42781 	  258
D 	2022-02-07 10:50:37	 652 	c1931 	15686 	u   	d    	42781 	  258
D 	2022-02-07 10:50:37	 903 	c1931 	15686 	d   	u    	-198050 	 -252
D 	2022-02-07 10:50:39	 252 	c1931 	15687 	u   	d    	-30998 	  102
D 	2022-02-07 10:50:39	 300 	c1931 	15687 	u   	d    	-30998 	  102
D 	2022-02-07 10:50:39	 350 	c1931 	15687 	u   	d    	-30998 	  102
D 	2022-02-07 10:50:39	 400 	c1931 	15687 	u   	d    	-30998 	  102
D 	2022-02-07 10:50:42	 175 	c1931 	15687 	d   	u    	-133206 	 -114
D 	2022-02-07 10:50:42	 675 	c1931 	15688 	u   	d    	-17244 	  131
D 	2022-02-07 10:50:42	 724 	c1931 	15688 	u   	d    	-17244 	  131
D 	2022-02-07 10:50:42	 774 	c1931 	15688 	u   	d    	-17244 	  131
D 	2022-02-07 10:50:42	 824 	c1931 	15688 	u   	d    	-17244 	  131
D 	2022-02-07 10:50:43	 401 	c1931 	15688 	d   	u    	-80928 	   -3
D 	2022-02-07 10:50:57	 100 	c1931 	15689 	u   	d    	-10680 	  145
D 	2022-02-07 10:50:57	 149 	c1931 	15689 	u   	d    	-10680 	  145
D 	2022-02-07 10:50:57	 199 	c1931 	15689 	u   	d    	-10680 	  145
D 	2022-02-07 10:50:57	 249 	c1931 	15689 	u   	d    	-10680 	  145
D 	2022-02-07 10:50:58	 176 	c1931 	15689 	d   	u    	-74093 	   10
D 	2022-02-07 10:50:58	 576 	c1931 	15690 	u   	d    	-40720 	   81
D 	2022-02-07 10:50:58	 625 	c1931 	15690 	u   	d    	-40720 	   81
D 	2022-02-07 10:50:58	 675 	c1931 	15690 	u   	d    	-40720 	   81
D 	2022-02-07 10:50:58	 725 	c1931 	15690 	u   	d    	-40720 	   81
D 	2022-02-07 10:50:58	 776 	c1931 	15690 	d   	u    	-67265 	   25
D 	2022-02-07 10:50:59	 202 	c1931 	15691 	u   	d    	-40005 	   82
D 	2022-02-07 10:50:59	 251 	c1931 	15691 	u   	d    	-40005 	   82
D 	2022-02-07 10:50:59	 301 	c1931 	15691 	u   	d    	-40005 	   82
D 	2022-02-07 10:50:59	 351 	c1931 	15691 	u   	d    	-40005 	   82
D 	2022-02-07 10:51:01	 899 	c1931 	15691 	d   	u    	-71088 	   17
D 	2022-02-07 10:51:02	 125 	c1931 	15692 	u   	d    	-27061 	  110
D 	2022-02-07 10:51:02	 173 	c1931 	15692 	u   	d    	-27061 	  110
D 	2022-02-07 10:51:02	 223 	c1931 	15692 	u   	d    	-27061 	  110
D 	2022-02-07 10:51:02	 273 	c1931 	15692 	u   	d    	-27061 	  110
D 	2022-02-07 10:51:02	 425 	c1931 	15692 	d   	u    	-69340 	   20
D 	2022-02-07 10:51:02	 875 	c1931 	15693 	u   	d    	-8324 	  150
D 	2022-02-07 10:51:02	 923 	c1931 	15693 	u   	d    	-8324 	  150
D 	2022-02-07 10:51:02	 973 	c1931 	15693 	u   	d    	-8324 	  150
D 	2022-02-07 10:51:02	1023 	c1931 	15693 	u   	d    	-8324 	  150
D 	2022-02-07 10:51:03	 151 	c1931 	15693 	d   	u    	-77753 	    2
D 	2022-02-07 10:51:03	 452 	c1931 	15694 	u   	d    	-34376 	   94
D 	2022-02-07 10:51:03	 501 	c1931 	15694 	u   	d    	-34376 	   94
D 	2022-02-07 10:51:03	 551 	c1931 	15694 	u   	d    	-34376 	   94
D 	2022-02-07 10:51:03	 601 	c1931 	15694 	u   	d    	-34376 	   94
T 	2022-02-07 10:51:06	 722 	c1931 	15694 
S
D 	2022-02-07 10:51:07	 459 	c1931 	15694 	d   	u    	-67019 	   25
D 	2022-02-07 10:51:07	 673 	c1931 	15695 	u   	d    	-15926 	  134
D 	2022-02-07 10:51:07	 722 	c1931 	15695 	u   	d    	-15926 	  134
D 	2022-02-07 10:51:07	 772 	c1931 	15695 	u   	d    	-15926 	  134
D 	2022-02-07 10:51:07	 822 	c1931 	15695 	u   	d    	-15926 	  134
D 	2022-02-07 10:51:08	  13 	c1931 	15695 	d   	u    	-74860 	    9
D 	2022-02-07 10:51:08	 313 	c1931 	15696 	u   	d    	-39356 	   84
D 	2022-02-07 10:51:08	 362 	c1931 	15696 	u   	d    	-39356 	   84
