F 	Date            	Hmsec 	ID   	Event 	Old 	New 	Strain 	~Weight
D 	2022-02-07 10:30:07	 138 	c1935 	  268 	u   	d    	102258 	  157
D 	2022-02-07 10:30:07	 187 	c1935 	  268 	u   	d    	102258 	  157
D 	2022-02-07 10:30:08	  57 	c1935 	  268 	d   	u    	14234 	   10
T 	2022-02-07 10:32:18	 686 	c1935 	  268 
S
D 	2022-02-07 10:35:10	 421 	c1935 	  269 	u   	d    	111095 	  172
D 	2022-02-07 10:35:10	 470 	c1935 	  269 	u   	d    	111095 	  172
D 	2022-02-07 10:35:10	 520 	c1935 	  269 	u   	d    	111095 	  172
D 	2022-02-07 10:35:10	 570 	c1935 	  269 	u   	d    	111095 	  172
D 	2022-02-07 10:35:12	1010 	c1935 	  269 	d   	u    	13879 	   11
D 	2022-02-07 10:35:16	 414 	c1935 	  270 	u   	d    	57810 	   82
D 	2022-02-07 10:35:16	 463 	c1935 	  270 	u   	d    	57810 	   82
D 	2022-02-07 10:35:16	 513 	c1935 	  270 	u   	d    	57810 	   82
D 	2022-02-07 10:35:16	 563 	c1935 	  270 	u   	d    	57810 	   82
D 	2022-02-07 10:35:17	 640 	c1935 	  270 	d   	u    	-17739 	  -44
D 	2022-02-07 10:35:17	 790 	c1935 	  271 	u   	d    	100176 	  153
D 	2022-02-07 10:35:17	 839 	c1935 	  271 	u   	d    	100176 	  153
D 	2022-02-07 10:35:17	 889 	c1935 	  271 	u   	d    	100176 	  153
D 	2022-02-07 10:35:17	 939 	c1935 	  271 	u   	d    	100176 	  153
D 	2022-02-07 10:35:18	 716 	c1935 	  271 	d   	u    	11446 	    4
D 	2022-02-07 10:35:18	 916 	c1935 	  272 	u   	d    	96795 	  148
D 	2022-02-07 10:35:18	 965 	c1935 	  272 	u   	d    	96795 	  148
D 	2022-02-07 10:35:18	1015 	c1935 	  272 	u   	d    	96795 	  148
D 	2022-02-07 10:35:19	  41 	c1935 	  272 	u   	d    	96795 	  148
D 	2022-02-07 10:35:25	 538 	c1935 	  272 	d   	u    	25305 	   28
D 	2022-02-07 10:35:25	 738 	c1935 	  273 	u   	d    	196755 	  315
D 	2022-02-07 10:35:25	 787 	c1935 	  273 	u   	d    	196755 	  315
D 	2022-02-07 10:35:25	 837 	c1935 	  273 	u   	d    	196755 	  315
D 	2022-02-07 10:35:25	 887 	c1935 	  273 	u   	d    	196755 	  315
D 	2022-02-07 10:35:28	1016 	c1935 	  273 	d   	u    	-17326 	  -43
D 	2022-02-07 10:35:29	 242 	c1935 	  274 	u   	d    	78972 	  118
D 	2022-02-07 10:35:29	 291 	c1935 	  274 	u   	d    	78972 	  118
D 	2022-02-07 10:35:29	 341 	c1935 	  274 	u   	d    	78972 	  118
