F 	Date            	Hmsec 	ID   	Event 	State 	Rule 	IDHere 	ListAHere 	ListBHere 	ListEHere  	IDThere
D 	2022-02-07 10:30:07	 238 	c1935 	  268 	o 	8 	4FEF 	3 	0 	0  	0000  
D 	2022-02-07 10:30:08	  57 	c1935 	  268 	o 	8 	4FEF 	3 	0 	0  	0000  
D 	2022-02-07 10:30:08	  57 	c1935 	  268 	c 	8 	0000 	0 	0 	0  	0000  
T 	2022-02-07 10:32:19	  91 	c1935 	  268 
S
D 	2022-02-07 10:35:12	1010 	c1935 	  269 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:35:17	 641 	c1935 	  270 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:35:18	 716 	c1935 	  271 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:35:25	 538 	c1935 	  272 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:35:28	1016 	c1935 	  273 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:35:33	 395 	c1935 	  274 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:35:34	 471 	c1935 	  275 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:35:36	 610 	c1935 	  276 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:35:37	 736 	c1935 	  277 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:35:38	 562 	c1935 	  278 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:35:39	 988 	c1935 	  279 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:35:41	 690 	c1935 	  280 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:35:42	 166 	c1935 	  281 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:35:42	 816 	c1935 	  282 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:35:43	 342 	c1935 	  283 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:35:44	  68 	c1935 	  284 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:35:44	 668 	c1935 	  285 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:35:45	 151 	c1935 	  286 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:35:45	 830 	c1935 	  287 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:35:46	 442 	c1935 	  288 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:35:47	  67 	c1935 	  289 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:35:47	 501 	c1935 	  290 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:35:48	 138 	c1935 	  291 	c 	8 	0000 	0 	0 	0  	3FDF  
D 	2022-02-07 10:35:48	 609 	c1935 	  292 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:35:49	 378 	c1935 	  293 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:35:49	 786 	c1935 	  294 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:35:50	 344 	c1935 	  295 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:35:50	 808 	c1935 	  296 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:35:51	 383 	c1935 	  297 	c 	8 	0000 	0 	0 	0  	0000  
T 	2022-02-07 10:35:51	 517 	c1935 	  297 
S
D 	2022-02-07 10:35:51	 846 	c1935 	  298 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:35:52	 373 	c1935 	  299 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:35:52	 958 	c1935 	  300 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:35:53	 584 	c1935 	  301 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:35:54	 610 	c1935 	  302 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:35:55	 186 	c1935 	  303 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:35:55	 936 	c1935 	  304 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:35:56	 362 	c1935 	  305 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:35:56	 812 	c1935 	  306 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:35:57	 388 	c1935 	  307 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:35:57	 688 	c1935 	  308 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:35:57	 938 	c1935 	  309 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:35:58	 764 	c1935 	  310 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:35:59	 990 	c1935 	  311 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:36:01	  42 	c1935 	  312 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:36:01	1008 	c1935 	  313 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:36:02	 480 	c1935 	  314 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:36:03	 389 	c1935 	  315 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:36:03	 976 	c1935 	  316 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:36:04	 482 	c1935 	  317 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:36:05	  61 	c1935 	  318 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:36:05	 777 	c1935 	  319 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:36:06	  94 	c1935 	  320 	c 	8 	0000 	0 	0 	0  	0000  
T 	2022-02-07 10:36:07	 407 	c1935 	  321 
S
D 	2022-02-07 10:36:07	 423 	c1935 	  321 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:36:08	   2 	c1935 	  322 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:36:08	 464 	c1935 	  323 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:36:08	 864 	c1935 	  324 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:36:09	 390 	c1935 	  325 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:36:09	 690 	c1935 	  326 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:36:10	 966 	c1935 	  327 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:36:12	 868 	c1935 	  328 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:36:13	 244 	c1935 	  329 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:36:14	 370 	c1935 	  330 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:36:14	 820 	c1935 	  331 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:36:15	  96 	c1935 	  332 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:36:15	 744 	c1935 	  333 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:36:16	 570 	c1935 	  334 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:36:17	  96 	c1935 	  335 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:36:17	 893 	c1935 	  336 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:36:18	 219 	c1935 	  337 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:36:18	 792 	c1935 	  338 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:36:19	 321 	c1935 	  339 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:36:19	 882 	c1935 	  340 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:36:20	 671 	c1935 	  341 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:36:21	 183 	c1935 	  342 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:36:21	 973 	c1935 	  343 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-07 10:36:22	 487 	c1935 	  344 	c 	8 	0000 	0 	0 	0  	0000  
