F 	Date            	Hmsec 	ID   	Event 	Batt 	Light 	   T1 	   T2  	   T3 	   TC 	 Hall  	Batt(mV) 	CoreTemp(C)
D 	2022-02-04 09:55:47	  68 	c1937 	 2750 	 3705	  779	  879	 1055	 1170	 1390	 4095	7236	003
D 	2022-02-04 09:56:47	  69 	c1937 	 2750 	 3708	  798	  870	 1056	 1165	 1389	 4095	7242	003
D 	2022-02-04 09:57:47	  68 	c1937 	 2750 	 3707	  777	  878	 1055	 1170	 1390	 4095	7240	003
D 	2022-02-04 09:58:47	  69 	c1937 	 2750 	 3708	  723	  829	 1051	 1167	 1389	 4095	7242	003
D 	2022-02-04 09:59:47	  69 	c1937 	 2750 	 3707	  680	  840	 1048	 1165	 1389	 4095	7240	003
D 	2022-02-04 10:00:47	  69 	c1937 	 2750 	 3707	  688	  839	 1055	 1170	 1389	 4095	7240	003
D 	2022-02-04 10:01:47	  68 	c1937 	 2751 	 3704	  700	  835	 1050	 1167	 1390	 4095	7234	003
D 	2022-02-04 10:02:47	  70 	c1937 	 2751 	 3703	  744	  826	 1051	 1168	 1388	 4095	7232	003
D 	2022-02-04 10:03:47	  68 	c1937 	 2751 	 3704	  822	  862	 1054	 1170	 1390	 4095	7234	003
D 	2022-02-04 10:04:47	  70 	c1937 	 2751 	 3703	  906	  903	 1113	 1164	 1388	 4095	7232	003
D 	2022-02-04 10:05:47	  70 	c1937 	 2751 	 3703	 1000	  869	 1051	 1167	 1389	 4095	7232	003
D 	2022-02-04 10:06:47	  68 	c1937 	 2751 	 3702	 1092	  894	 1113	 1164	 1389	 4095	7230	003
D 	2022-02-04 10:07:47	  69 	c1937 	 2751 	 3700	 1163	  938	 1110	 1170	 1387	 4095	7226	003
D 	2022-02-04 10:08:47	  69 	c1937 	 2751 	 3701	 1179	  929	 1107	 1167	 1388	 4095	7228	003
D 	2022-02-04 10:09:47	  70 	c1937 	 2751 	 3701	 1183	  926	 1112	 1164	 1389	 4095	7228	003
D 	2022-02-04 10:10:47	  68 	c1937 	 2751 	 3700	 1201	  916	 1110	 1171	 1388	 4095	7226	003
D 	2022-02-04 10:11:47	  70 	c1937 	 2751 	 3702	 1241	  901	 1109	 1167	 1388	 4095	7230	003
D 	2022-02-04 10:12:47	  70 	c1937 	 2751 	 3700	 1307	  948	 1110	 1171	 1389	 4095	7226	003
D 	2022-02-04 10:13:47	  67 	c1937 	 2751 	 3699	 1389	  928	 1107	 1167	 1389	 4095	7224	003
D 	2022-02-04 10:14:47	  68 	c1937 	 2751 	 3700	 1458	  957	 1111	 1171	 1389	 4095	7226	003
D 	2022-02-04 10:15:47	  68 	c1937 	 2751 	 3697	 1423	  978	 1109	 1168	 1389	 4095	7220	003
D 	2022-02-04 10:16:47	  67 	c1937 	 2751 	 3700	 1319	  943	 1113	 1164	 1389	 4095	7226	003
D 	2022-02-04 10:17:47	  69 	c1937 	 2751 	 3701	 1222	  913	 1107	 1167	 1388	 4095	7228	003
D 	2022-02-04 10:18:47	  69 	c1937 	 2751 	 3700	 1133	  887	 1055	 1170	 1389	 4095	7226	003
D 	2022-02-04 10:19:47	  68 	c1937 	 2751 	 3700	 1084	  899	 1109	 1168	 1387	 4095	7226	003
D 	2022-02-04 10:20:47	  70 	c1937 	 2751 	 3701	 1099	  889	 1047	 1169	 1388	 4095	7228	003
D 	2022-02-04 10:21:47	  67 	c1937 	 2751 	 3699	 1119	  888	 1047	 1170	 1388	 4095	7224	003
D 	2022-02-04 10:22:47	  69 	c1937 	 2751 	 3699	 1128	  889	 1047	 1170	 1388	 4095	7224	003
D 	2022-02-04 10:23:47	  68 	c1937 	 2751 	 3700	 1148	  883	 1051	 1167	 1388	 4095	7226	003
D 	2022-02-04 10:24:47	  69 	c1937 	 2751 	 3699	 1209	  910	 1112	 1164	 1387	 4095	7224	003
D 	2022-02-04 10:25:47	  68 	c1937 	 2751 	 3700	 1264	  902	 1112	 1165	 1387	 4095	7226	003
D 	2022-02-04 10:26:47	  69 	c1937 	 2751 	 3699	 1334	  939	 1110	 1171	 1387	 4095	7224	003
D 	2022-02-04 10:27:47	  67 	c1937 	 2751 	 3699	 1311	  946	 1110	 1171	 1388	 4095	7224	003
D 	2022-02-04 10:28:47	  70 	c1937 	 2751 	 3699	 1214	  916	 1109	 1168	 1388	 4095	7224	003
D 	2022-02-04 10:29:47	  69 	c1937 	 2751 	 3697	 1151	  945	 1107	 1168	 1389	 4095	7220	003
D 	2022-02-04 10:30:47	  68 	c1937 	 2751 	 3699	 1150	  954	 1109	 1167	 1388	 4095	7224	003
D 	2022-02-04 10:31:47	  67 	c1937 	 2751 	 3697	 1135	  888	 1047	 1170	 1387	 4095	7220	003
D 	2022-02-04 10:32:47	  69 	c1937 	 2751 	 3699	 1117	  886	 1055	 1171	 1389	 4095	7224	003
D 	2022-02-04 10:33:47	  70 	c1937 	 2751 	 3699	 1123	  889	 1047	 1170	 1388	 4095	7224	003
D 	2022-02-04 10:34:47	  67 	c1937 	 2751 	 3699	 1160	  940	 1111	 1171	 1387	 4095	7224	003
D 	2022-02-04 10:35:47	  69 	c1937 	 2751 	 3697	 1216	  913	 1108	 1168	 1389	 4095	7220	003
D 	2022-02-04 10:36:47	  68 	c1937 	 2751 	 3696	 1261	  902	 1112	 1165	 1389	 4095	7218	003
D 	2022-02-04 10:37:47	  67 	c1937 	 2751 	 3697	 1301	  952	 1107	 1169	 1388	 4095	7220	003
D 	2022-02-04 10:38:47	  69 	c1937 	 2751 	 3696	 1334	  932	 1110	 1171	 1390	 4095	7218	003
D 	2022-02-04 10:39:47	  69 	c1937 	 2751 	 3695	 1356	  933	 1110	 1171	 1388	 4095	7216	003
D 	2022-02-04 10:40:47	  67 	c1937 	 2751 	 3696	 1363	  922	 1110	 1171	 1389	 4095	7218	003
D 	2022-02-04 10:41:47	  68 	c1937 	 2751 	 3696	 1387	  927	 1113	 1165	 1388	 4095	7218	003
D 	2022-02-04 10:42:47	  68 	c1937 	 2751 	 3695	 1411	  989	 1110	 1171	 1388	 4095	7216	003
D 	2022-02-04 10:43:47	  69 	c1937 	 2751 	 3696	 1449	  957	 1110	 1171	 1389	 4095	7218	003
D 	2022-02-04 10:44:47	  69 	c1937 	 2751 	 3697	 1479	  946	 1110	 1171	 1388	 4095	7220	003
D 	2022-02-04 10:45:47	  69 	c1937 	 2751 	 3694	 1502	  946	 1110	 1171	 1390	 4095	7214	003
D 	2022-02-04 10:46:47	  69 	c1937 	 2751 	 3695	 1526	  946	 1109	 1168	 1389	 4095	7216	003
D 	2022-02-04 10:47:47	  68 	c1937 	 2751 	 3694	 1560	  986	 1110	 1170	 1388	 4095	7214	003
D 	2022-02-04 10:48:47	  68 	c1937 	 2751 	 3695	 1601	  966	 1114	 1167	 1389	 4095	7216	003
D 	2022-02-04 10:49:47	  68 	c1937 	 2751 	 3693	 1630	  961	 1107	 1168	 1389	 4095	7212	003
D 	2022-02-04 10:50:47	  68 	c1937 	 2751 	 3694	 1649	  957	 1110	 1171	 1388	 4095	7214	003
D 	2022-02-04 10:51:47	  67 	c1937 	 2751 	 3695	 1655	  957	 1111	 1171	 1388	 4095	7216	003
D 	2022-02-04 10:52:47	  68 	c1937 	 2751 	 3694	 1636	  967	 1114	 1166	 1390	 4095	7214	003
D 	2022-02-04 10:53:47	  69 	c1937 	 2751 	 3695	 1589	  966	 1113	 1164	 1388	 4095	7216	003
T 	2022-02-04 10:53:49	 363 	c1937 	 2751 
S
D 	2022-02-04 10:54:47	  67 	c1937 	 2751 	 3689	 1538	 1012	 1110	 1171	 1390	 4095	7205	003
D 	2022-02-04 10:55:47	  68 	c1937 	 2751 	 3690	 1480	  952	 1107	 1168	 1390	 4095	7207	003
D 	2022-02-04 10:56:47	  69 	c1937 	 2751 	 3694	 1434	  974	 1114	 1167	 1388	 4095	7214	003
D 	2022-02-04 10:57:47	  68 	c1937 	 2751 	 3693	 1506	  944	 1107	 1168	 1389	 4095	7212	003
D 	2022-02-04 10:58:47	  69 	c1937 	 2751 	 3692	 1826	 1018	 1109	 1168	 1388	 4095	7210	003
D 	2022-02-04 10:59:47	  68 	c1937 	 2751 	 3694	 2711	 1112	 1165	 1232	 1390	 4095	7214	003
D 	2022-02-04 11:00:47	  67 	c1937 	 2751 	 3693	 2632	 1079	 1171	 1233	 1390	 4095	7212	003
D 	2022-02-04 11:01:47	  66 	c1937 	 2751 	 3692	 2827	 1143	 1172	 1232	 1390	 4095	7210	003
D 	2022-02-04 11:02:47	  67 	c1937 	 2751 	 3692	 2899	 1089	 1164	 1232	 1389	 4095	7210	003
D 	2022-02-04 11:03:47	  68 	c1937 	 2751 	 3691	 3235	 1149	 1232	 1230	 1391	 4095	7208	003
D 	2022-02-04 11:04:47	  70 	c1937 	 2751 	 3692	 1978	 1010	 1110	 1171	 1390	 4095	7210	003
D 	2022-02-04 11:05:47	  69 	c1937 	 2751 	 3691	 1567	  979	 1110	 1171	 1391	 4095	7208	003
D 	2022-02-04 11:06:47	  67 	c1937 	 2751 	 3688	 1527	  944	 1107	 1168	 1390	 4095	7203	003
D 	2022-02-04 11:07:47	  68 	c1937 	 2751 	 3690	 1527	  942	 1113	 1165	 1391	 4095	7207	003
D 	2022-02-04 11:08:47	  68 	c1937 	 2751 	 3691	 1819	 1017	 1106	 1167	 1393	 4095	7208	004
D 	2022-02-04 11:09:47	  69 	c1937 	 2751 	 3691	 2124	 1020	 1110	 1171	 1392	 4095	7208	004
D 	2022-02-04 11:10:47	  69 	c1937 	 2751 	 3690	 1809	 1020	 1168	 1229	 1392	 4095	7207	004
D 	2022-02-04 11:11:47	  70 	c1937 	 2751 	 3690	 1672	 1023	 1169	 1230	 1392	 4095	7207	004
D 	2022-02-04 11:12:47	  69 	c1937 	 2751 	 3690	 1621	  953	 1107	 1168	 1391	 4095	7207	003
D 	2022-02-04 11:13:47	  69 	c1937 	 2751 	 3688	 1591	  964	 1110	 1171	 1392	 4095	7203	004
D 	2022-02-04 11:14:47	  69 	c1937 	 2751 	 3689	 1533	  936	 1108	 1168	 1390	 4095	7205	003
D 	2022-02-04 11:15:47	  68 	c1937 	 2751 	 3688	 1491	  941	 1110	 1171	 1392	 4095	7203	004
D 	2022-02-04 11:16:47	  67 	c1937 	 2751 	 3689	 1530	  944	 1107	 1167	 1393	 4095	7205	004
D 	2022-02-04 11:17:47	  69 	c1937 	 2751 	 3690	 1507	  948	 1110	 1171	 1392	 4095	7207	004
D 	2022-02-04 11:18:47	  69 	c1937 	 2752 	 3686	 1587	  969	 1107	 1168	 1392	 4095	7199	004
D 	2022-02-04 11:19:47	  70 	c1937 	 2752 	 3686	 1631	  962	 1109	 1168	 1391	 4095	7199	003
D 	2022-02-04 11:20:47	  69 	c1937 	 2752 	 3687	 1526	  947	 1109	 1168	 1392	 4095	7201	004
D 	2022-02-04 11:21:47	  69 	c1937 	 2752 	 3686	 1522	  946	 1109	 1169	 1390	 4095	7199	003
D 	2022-02-04 11:22:47	  70 	c1937 	 2752 	 3685	 1430	  979	 1109	 1168	 1389	 4095	7197	003
D 	2022-02-04 11:23:47	  70 	c1937 	 2752 	 3684	 1327	  938	 1110	 1171	 1392	 4095	7195	004
D 	2022-02-04 11:24:47	  69 	c1937 	 2752 	 3683	 1332	  941	 1109	 1168	 1392	 4095	7193	004
D 	2022-02-04 11:25:47	  70 	c1937 	 2752 	 3685	 1203	  915	 1109	 1167	 1392	 4095	7197	004
D 	2022-02-04 11:26:47	  69 	c1937 	 2752 	 3684	 1366	  929	 1107	 1168	 1391	 4095	7195	003
D 	2022-02-04 11:27:47	  68 	c1937 	 2752 	 3683	 1385	  927	 1113	 1165	 1392	 4095	7193	004
D 	2022-02-04 11:28:47	  69 	c1937 	 2752 	 3682	 1278	  976	 1108	 1168	 1392	 4095	7191	004
D 	2022-02-04 11:29:47	  69 	c1937 	 2752 	 3683	 1778	  976	 1107	 1167	 1390	 4095	7193	003
D 	2022-02-04 11:30:47	  69 	c1937 	 2752 	 3681	 2543	 1070	 1171	 1233	 1392	 4095	7189	004
D 	2022-02-04 11:31:47	  69 	c1937 	 2752 	 3683	 2591	 1099	 1168	 1230	 1392	 4095	7193	004
D 	2022-02-04 11:32:47	  70 	c1937 	 2752 	 3681	 1385	  929	 1107	 1167	 1392	 4095	7189	004
D 	2022-02-04 11:33:47	  69 	c1937 	 2752 	 3681	 1108	  889	 1047	 1170	 1393	 4095	7189	004
D 	2022-02-04 11:34:47	  69 	c1937 	 2752 	 3684	 1934	 1047	 1170	 1233	 1392	 4095	7195	004
D 	2022-02-04 11:35:47	  69 	c1937 	 2752 	 3684	 1122	  890	 1050	 1167	 1393	 4095	7195	004
D 	2022-02-04 11:36:47	  67 	c1937 	 2752 	 3683	 2149	 1028	 1168	 1230	 1393	 4095	7193	004
D 	2022-02-04 11:37:47	  67 	c1937 	 2752 	 3683	 2292	 1035	 1167	 1235	 1392	 4095	7193	004
D 	2022-02-04 11:38:47	  68 	c1937 	 2752 	 3680	 2422	 1049	 1164	 1231	 1393	 4095	7187	004
D 	2022-02-04 11:39:47	  68 	c1937 	 2752 	 3684	 2318	 1089	 1164	 1233	 1393	 4095	7195	004
D 	2022-02-04 11:40:47	  68 	c1937 	 2752 	 3683	 1249	  907	 1109	 1167	 1394	 4095	7193	004
D 	2022-02-04 11:41:47	  69 	c1937 	 2752 	 3682	 1706	  995	 1110	 1172	 1393	 4095	7191	004
D 	2022-02-04 11:42:47	  68 	c1937 	 2752 	 3683	 2108	 1027	 1168	 1231	 1392	 4095	7193	004
D 	2022-02-04 11:43:47	  68 	c1937 	 2752 	 3682	 1993	 1010	 1110	 1170	 1394	 4095	7191	004
D 	2022-02-04 11:44:47	  67 	c1937 	 2752 	 3681	 2111	 1028	 1167	 1235	 1394	 4095	7189	004
D 	2022-02-04 11:45:47	  69 	c1937 	 2752 	 3684	 2280	 1047	 1170	 1232	 1394	 4095	7195	004
D 	2022-02-04 11:46:47	  69 	c1937 	 2752 	 3683	 2215	 1059	 1168	 1230	 1394	 4095	7193	004
D 	2022-02-04 11:47:47	  70 	c1937 	 2752 	 3682	 2214	 1057	 1165	 1233	 1394	 4095	7191	004
D 	2022-02-04 11:48:47	  68 	c1937 	 2752 	 3682	 1603	  965	 1110	 1171	 1395	 4095	7191	004
D 	2022-02-04 11:49:47	  67 	c1937 	 2752 	 3681	 1929	 1049	 1164	 1233	 1394	 4095	7189	004
D 	2022-02-04 11:50:47	  70 	c1937 	 2752 	 3681	 1855	 1000	 1106	 1168	 1395	 4095	7189	004
D 	2022-02-04 11:51:47	  67 	c1937 	 2752 	 3681	 1444	  971	 1111	 1170	 1393	 4095	7189	004
D 	2022-02-04 11:52:47	  69 	c1937 	 2752 	 3681	 1611	  962	 1110	 1171	 1395	 4095	7189	004
D 	2022-02-04 11:53:47	  67 	c1937 	 2752 	 3681	 2051	 1075	 1168	 1230	 1395	 4095	7189	004
D 	2022-02-04 11:54:47	  69 	c1937 	 2752 	 3681	 1791	 1044	 1168	 1230	 1394	 4095	7189	004
D 	2022-02-04 11:55:47	  69 	c1937 	 2752 	 3679	 1875	  983	 1114	 1167	 1394	 4095	7185	004
D 	2022-02-04 11:56:47	  70 	c1937 	 2752 	 3681	 1214	  916	 1111	 1171	 1394	 4095	7189	004
D 	2022-02-04 11:57:47	  68 	c1937 	 2752 	 3681	 1435	  972	 1110	 1172	 1394	 4095	7189	004
D 	2022-02-04 11:58:47	  69 	c1937 	 2752 	 3682	 1872	  996	 1110	 1172	 1396	 4095	7191	004
D 	2022-02-04 11:59:47	  68 	c1937 	 2752 	 3679	 1728	  987	 1110	 1172	 1394	 4095	7185	004
D 	2022-02-04 12:00:47	  67 	c1937 	 2752 	 3677	 1541	 1005	 1109	 1168	 1395	 4095	7181	004
D 	2022-02-04 12:01:47	  68 	c1937 	 2752 	 3680	 1716	  990	 1114	 1167	 1395	 4095	7187	004
D 	2022-02-04 12:02:47	  69 	c1937 	 2752 	 3679	 1635	  962	 1111	 1171	 1393	 4095	7185	004
D 	2022-02-04 12:03:47	  69 	c1937 	 2752 	 3678	 1850	 1004	 1110	 1171	 1394	 4095	7183	004
D 	2022-02-04 12:04:47	  67 	c1937 	 2752 	 3679	 2273	 1045	 1168	 1230	 1395	 4095	7185	004
D 	2022-02-04 12:05:47	  68 	c1937 	 2752 	 3678	 1889	  997	 1110	 1171	 1395	 4095	7183	004
D 	2022-02-04 12:06:47	  69 	c1937 	 2752 	 3678	 1932	 1050	 1167	 1235	 1396	 4095	7183	004
D 	2022-02-04 12:07:47	  68 	c1937 	 2752 	 3678	 2287	 1035	 1167	 1235	 1396	 4095	7183	004
D 	2022-02-04 12:08:47	  67 	c1937 	 2752 	 3679	 2139	 1026	 1167	 1236	 1395	 4095	7185	004
D 	2022-02-04 12:09:47	  69 	c1937 	 2752 	 3679	 2506	 1070	 1171	 1232	 1396	 4095	7185	004
T 	2022-02-04 12:09:49	 416 	c1937 	 2752 
S
D 	2022-02-04 12:10:47	  67 	c1937 	 2752 	 3679	 1862	  997	 1110	 1172	 1395	 4095	7185	004
D 	2022-02-04 12:11:47	  70 	c1937 	 2752 	 3676	 2399	 1047	 1170	 1232	 1395	 4095	7179	004
D 	2022-02-04 12:12:47	  68 	c1937 	 2752 	 3679	 2481	 1077	 1167	 1236	 1397	 4095	7185	005
D 	2022-02-04 12:13:47	  69 	c1937 	 2752 	 3678	 2347	 1071	 1171	 1233	 1397	 4095	7183	005
D 	2022-02-04 12:14:47	  66 	c1937 	 2752 	 3678	 2343	 1074	 1167	 1236	 1398	 4095	7183	005
D 	2022-02-04 12:15:47	  69 	c1937 	 2752 	 3677	 2406	 1055	 1171	 1233	 1397	 4095	7181	005
D 	2022-02-04 12:16:47	  69 	c1937 	 2752 	 3677	 2455	 1087	 1171	 1233	 1398	 4095	7181	005
D 	2022-02-04 12:17:47	  66 	c1937 	 2752 	 3676	 2421	 1051	 1168	 1230	 1397	 4095	7179	005
D 	2022-02-04 12:18:47	  68 	c1937 	 2752 	 3676	 2563	 1126	 1170	 1232	 1398	 4095	7179	005
D 	2022-02-04 12:19:47	  69 	c1937 	 2752 	 3673	 2704	 1122	 1168	 1230	 1397	 4095	7173	005
D 	2022-02-04 12:20:47	  68 	c1937 	 2752 	 3677	 3006	 1114	 1168	 1230	 1399	 4095	7181	005
D 	2022-02-04 12:21:47	  69 	c1937 	 2752 	 3676	 3144	 1121	 1165	 1233	 1399	 4095	7179	005
D 	2022-02-04 12:22:47	  70 	c1937 	 2752 	 3676	 3493	 1179	 1233	 1229	 1399	 4095	7179	005
D 	2022-02-04 12:23:47	  68 	c1937 	 2752 	 3675	 3545	 1152	 1230	 1236	 1400	 4095	7177	005
D 	2022-02-04 12:24:47	  69 	c1937 	 2752 	 3675	 3611	 1195	 1233	 1230	 1400	 4095	7177	005
D 	2022-02-04 12:25:47	  68 	c1937 	 2752 	 3673	 3633	 1176	 1230	 1236	 1400	 4095	7173	005
D 	2022-02-04 12:26:47	  70 	c1937 	 2752 	 3675	 3243	 1145	 1164	 1233	 1401	 4095	7177	005
D 	2022-02-04 12:27:47	  69 	c1937 	 2752 	 3675	 2303	 1109	 1168	 1230	 1401	 4095	7177	005
D 	2022-02-04 12:28:47	  69 	c1937 	 2752 	 3676	 2493	 1071	 1171	 1233	 1401	 4095	7179	005
D 	2022-02-04 12:29:47	  68 	c1937 	 2752 	 3676	 1797	 1039	 1170	 1233	 1400	 4095	7179	005
D 	2022-02-04 12:30:47	  68 	c1937 	 2752 	 3674	 2889	 1105	 1165	 1233	 1401	 4095	7175	005
D 	2022-02-04 12:31:47	  68 	c1937 	 2752 	 3674	 2627	 1084	 1168	 1230	 1400	 4095	7175	005
D 	2022-02-04 12:32:47	  68 	c1937 	 2752 	 3674	 2384	 1052	 1168	 1230	 1399	 4095	7175	005
D 	2022-02-04 12:33:47	  69 	c1937 	 2752 	 3675	 2735	 1100	 1169	 1230	 1400	 4095	7177	005
D 	2022-02-04 12:34:47	  69 	c1937 	 2752 	 3675	 2644	 1074	 1167	 1235	 1400	 4095	7177	005
D 	2022-02-04 12:35:47	  70 	c1937 	 2752 	 3671	 3157	 1107	 1167	 1235	 1402	 4095	7169	005
D 	2022-02-04 12:36:47	  68 	c1937 	 2752 	 3673	 2974	 1128	 1164	 1232	 1401	 4095	7173	005
D 	2022-02-04 12:37:47	  67 	c1937 	 2752 	 3672	 2992	 1123	 1167	 1235	 1401	 4095	7171	005
D 	2022-02-04 12:38:47	  68 	c1937 	 2752 	 3671	 2454	 1090	 1168	 1230	 1402	 4095	7169	005
D 	2022-02-04 12:39:47	  69 	c1937 	 2752 	 3675	 2289	 1038	 1170	 1232	 1401	 4095	7177	005
D 	2022-02-04 12:40:47	  69 	c1937 	 2752 	 3673	 2511	 1066	 1167	 1236	 1401	 4095	7173	005
