F 	Date            	Hmsec 	ID   	Event 	Batt 	Light 	   T1 	   T2  	   T3 	   TC 	 Hall  	Batt(mV) 	CoreTemp(C)
D 	2022-01-27 16:16:20	  82 	c1937 	 2737 	 3340	  498	  770	 1051	 1168	 1423	 4095	6523	009
D 	2022-01-27 16:17:20	  86 	c1937 	 2737 	 3340	  496	  767	 1054	 1170	 1420	 4095	6523	009
D 	2022-01-27 16:18:20	  84 	c1937 	 2737 	 3340	  486	  775	 1054	 1171	 1420	 4095	6523	009
D 	2022-01-27 16:19:20	  85 	c1937 	 2737 	 3339	  484	  773	 1051	 1167	 1421	 4095	6521	009
D 	2022-01-27 16:20:20	  85 	c1937 	 2737 	 3339	  481	  769	 1048	 1165	 1420	 4095	6521	009
D 	2022-01-27 16:21:20	  84 	c1937 	 2737 	 3340	  480	  771	 1051	 1169	 1419	 4095	6523	009
D 	2022-01-27 16:22:20	  81 	c1937 	 2737 	 3340	  482	  772	 1051	 1168	 1420	 4095	6523	009
D 	2022-01-27 16:23:20	  82 	c1937 	 2737 	 3339	  465	  772	 1051	 1168	 1420	 4095	6521	009
D 	2022-01-27 16:24:20	  83 	c1937 	 2737 	 3339	  386	  794	 1051	 1168	 1420	 4095	6521	009
D 	2022-01-27 16:24:24	 566 	c1937 	 2737 	 3729	  339	  745	  987	 1110	 1396	 4095	7283	004
D 	2022-01-27 16:25:23	  69 	c1937 	 2737 	 3729	  359	  744	  987	 1110	 1397	 4095	7283	005
D 	2022-01-27 16:26:23	  69 	c1937 	 2737 	 3727	  371	  739	  991	 1114	 1399	 4095	7279	005
D 	2022-01-27 16:27:23	  73 	c1937 	 2737 	 3726	  372	  739	  992	 1106	 1399	 4095	7277	005
D 	2022-01-27 16:28:23	  73 	c1937 	 2737 	 3727	  358	  746	  990	 1113	 1401	 4095	7279	005
T 	2022-02-04 09:14:24	 476 	c1937 	 2737 
S
D 	2022-02-04 09:14:47	  70 	c1937 	 2737 	 3725	  330	  745	  987	 1110	 1401	 4095	7275	005
D 	2022-02-04 09:15:47	  69 	c1937 	 2737 	 3723	  330	  746	  992	 1107	 1402	 4095	7271	005
D 	2022-02-04 09:16:47	  70 	c1937 	 2738 	 3724	  405	  789	 1051	 1167	 1402	 4095	7273	005
D 	2022-02-04 09:17:47	  68 	c1937 	 2739 	 3723	  391	  793	 1048	 1165	 1402	 4095	7271	005
D 	2022-02-04 09:18:47	  70 	c1937 	 2740 	 3721	  408	  787	 1051	 1167	 1403	 4095	7267	006
D 	2022-02-04 09:19:47	  68 	c1937 	 2740 	 3721	  392	  788	 1051	 1167	 1402	 4095	7267	005
D 	2022-02-04 09:20:47	  70 	c1937 	 2740 	 3721	  394	  790	 1054	 1170	 1403	 4095	7267	006
D 	2022-02-04 09:21:47	  70 	c1937 	 2741 	 3720	  292	  753	  987	 1110	 1402	 4095	7265	005
D 	2022-02-04 09:22:47	  69 	c1937 	 2741 	 3720	  303	  752	  988	 1109	 1401	 4095	7265	005
D 	2022-02-04 09:23:47	  68 	c1937 	 2742 	 3719	  466	  773	 1050	 1167	 1401	 4095	7263	005
D 	2022-02-04 09:24:47	  67 	c1937 	 2742 	 3719	  473	  769	 1048	 1164	 1401	 4095	7263	005
D 	2022-02-04 09:25:47	  70 	c1937 	 2742 	 3718	  472	  767	 1053	 1169	 1400	 4095	7261	005
D 	2022-02-04 09:26:47	  69 	c1937 	 2742 	 3717	  475	  770	 1050	 1168	 1399	 4095	7259	005
D 	2022-02-04 09:27:47	  69 	c1937 	 2742 	 3717	  470	  776	 1048	 1165	 1398	 4095	7259	005
D 	2022-02-04 09:28:47	  68 	c1937 	 2742 	 3716	  475	  771	 1051	 1167	 1397	 4095	7257	005
D 	2022-02-04 09:29:47	  68 	c1937 	 2742 	 3715	  488	  767	 1052	 1168	 1397	 4095	7255	005
D 	2022-02-04 09:30:47	  69 	c1937 	 2742 	 3715	  486	  774	 1053	 1168	 1397	 4095	7255	005
D 	2022-02-04 09:31:47	  68 	c1937 	 2742 	 3713	  496	  766	 1053	 1167	 1396	 4095	7251	004
D 	2022-02-04 09:32:47	  70 	c1937 	 2742 	 3714	  487	  773	 1050	 1167	 1396	 4095	7253	004
D 	2022-02-04 09:33:47	  70 	c1937 	 2742 	 3713	  502	  771	 1050	 1167	 1395	 4095	7251	004
D 	2022-02-04 09:34:47	  70 	c1937 	 2742 	 3715	  518	  832	 1048	 1164	 1394	 4095	7255	004
D 	2022-02-04 09:35:47	  70 	c1937 	 2742 	 3714	  539	  822	 1054	 1169	 1395	 4095	7253	004
D 	2022-02-04 09:36:47	  70 	c1937 	 2742 	 3713	  545	  816	 1047	 1171	 1395	 4095	7251	004
D 	2022-02-04 09:37:47	  70 	c1937 	 2742 	 3713	  561	  812	 1051	 1168	 1395	 4095	7251	004
D 	2022-02-04 09:38:47	  70 	c1937 	 2745 	 3711	  515	  830	 1054	 1169	 1393	 4095	7248	004
D 	2022-02-04 09:39:47	  71 	c1937 	 2747 	 3711	  548	  819	 1051	 1167	 1393	 3852	7248	004
T 	2022-02-04 09:39:56	 122 	c1937 	 2748 
S
D 	2022-02-04 09:40:47	  68 	c1937 	 2750 	 3711	  478	  775	 1054	 1170	 1394	 4095	7248	004
D 	2022-02-04 09:41:47	  70 	c1937 	 2750 	 3709	  549	  816	 1047	 1170	 1393	 4095	7244	004
D 	2022-02-04 09:42:47	  68 	c1937 	 2750 	 3708	  535	  826	 1051	 1167	 1393	 4095	7242	004
D 	2022-02-04 09:43:47	  70 	c1937 	 2750 	 3711	  533	  824	 1049	 1165	 1391	 4095	7248	003
D 	2022-02-04 09:44:47	  67 	c1937 	 2750 	 3710	  547	  816	 1048	 1165	 1392	 4095	7246	004
D 	2022-02-04 09:45:47	  70 	c1937 	 2750 	 3709	  581	  808	 1048	 1165	 1391	 4095	7244	003
D 	2022-02-04 09:46:47	  70 	c1937 	 2750 	 3709	  612	  803	 1051	 1167	 1393	 4095	7244	004
D 	2022-02-04 09:47:47	  69 	c1937 	 2750 	 3710	  631	  800	 1048	 1165	 1393	 4095	7246	004
D 	2022-02-04 09:48:47	  70 	c1937 	 2750 	 3708	  644	  856	 1048	 1164	 1392	 4095	7242	004
D 	2022-02-04 09:49:47	  70 	c1937 	 2750 	 3708	  666	  850	 1050	 1167	 1389	 4095	7242	003
D 	2022-02-04 09:50:47	  69 	c1937 	 2750 	 3707	  692	  840	 1048	 1165	 1391	 4095	7240	003
D 	2022-02-04 09:51:47	  70 	c1937 	 2750 	 3706	  709	  831	 1055	 1170	 1390	 4095	7238	003
D 	2022-02-04 09:52:47	  69 	c1937 	 2750 	 3707	  725	  828	 1052	 1167	 1389	 4095	7240	003
D 	2022-02-04 09:53:47	  70 	c1937 	 2750 	 3707	  744	  826	 1050	 1167	 1391	 4095	7240	003
D 	2022-02-04 09:54:47	  70 	c1937 	 2750 	 3705	  751	  829	 1051	 1168	 1390	 4095	7236	003
