F 	Date            	Hmsec 	ID   	Event 	Old 	New 	Strain 	~Weight
D 	2022-01-25 09:27:44	 975 	c1931 	15519 	d   	u    	-70588 	    0
D 	2022-01-25 09:28:29	 709 	c1931 	15520 	u   	d    	-26043 	  111
D 	2022-01-25 09:28:29	 757 	c1931 	15520 	u   	d    	-26043 	  111
D 	2022-01-25 09:28:29	 807 	c1931 	15520 	u   	d    	-26043 	  111
D 	2022-01-25 09:28:29	 857 	c1931 	15520 	u   	d    	-26043 	  111
D 	2022-01-25 09:28:29	1009 	c1931 	15520 	d   	u    	-60482 	   25
D 	2022-01-25 09:28:44	 435 	c1931 	15521 	u   	d    	-20145 	  125
D 	2022-01-25 09:28:44	 484 	c1931 	15521 	u   	d    	-20145 	  125
D 	2022-01-25 09:28:44	 534 	c1931 	15521 	u   	d    	-20145 	  125
D 	2022-01-25 09:28:44	 584 	c1931 	15521 	u   	d    	-20145 	  125
T 	2022-02-04 09:12:44	 476 	c1931 	15521 
S
D 	2022-02-04 09:13:26	 245 	c1931 	15521 	d   	u    	-42722 	 -106
D 	2022-02-04 09:16:04	 641 	c1931 	15522 	u   	d    	-13025 	   93
D 	2022-02-04 09:16:04	 690 	c1931 	15522 	u   	d    	-13025 	   93
D 	2022-02-04 09:16:04	 740 	c1931 	15522 	u   	d    	-13025 	   93
D 	2022-02-04 09:16:04	 790 	c1931 	15522 	u   	d    	-13025 	   93
D 	2022-02-04 09:16:04	 841 	c1931 	15522 	d   	u    	-76178 	  -86
D 	2022-02-04 09:16:58	 495 	c1931 	15523 	u   	d    	-14439 	  114
D 	2022-02-04 09:16:58	 498 	c1931 	15523 	u   	d    	-14439 	  114
D 	2022-02-04 09:16:58	 501 	c1931 	15523 	u   	d    	-14439 	  114
D 	2022-02-04 09:16:58	 504 	c1931 	15523 	u   	d    	-14439 	  114
D 	2022-02-04 09:17:17	 316 	c1931 	15523 	d   	u    	-46675 	   27
D 	2022-02-04 09:17:20	 742 	c1931 	15524 	u   	d    	-26101 	   82
D 	2022-02-04 09:17:20	 791 	c1931 	15524 	u   	d    	-26101 	   82
D 	2022-02-04 09:17:20	 841 	c1931 	15524 	u   	d    	-26101 	   82
D 	2022-02-04 09:17:20	 891 	c1931 	15524 	u   	d    	-26101 	   82
D 	2022-02-04 09:17:21	 168 	c1931 	15524 	d   	u    	-48979 	   21
D 	2022-02-04 09:17:44	 941 	c1931 	15525 	u   	d    	49231 	  274
D 	2022-02-04 09:17:44	 989 	c1931 	15525 	u   	d    	49231 	  274
D 	2022-02-04 09:17:45	  15 	c1931 	15525 	u   	d    	49231 	  274
D 	2022-02-04 09:17:45	  65 	c1931 	15525 	u   	d    	49231 	  274
D 	2022-02-04 09:17:54	 493 	c1931 	15525 	d   	u    	-38343 	   23
D 	2022-02-04 09:18:00	  45 	c1931 	15526 	u   	d    	13530 	  142
D 	2022-02-04 09:18:00	  93 	c1931 	15526 	u   	d    	13530 	  142
D 	2022-02-04 09:18:02	  94 	c1931 	15526 	d   	u    	-35622 	   29
D 	2022-02-04 09:21:25	 617 	c1931 	15527 	u   	d    	30217 	  180
D 	2022-02-04 09:21:25	 666 	c1931 	15527 	u   	d    	30217 	  180
D 	2022-02-04 09:21:25	 716 	c1931 	15527 	u   	d    	30217 	  180
D 	2022-02-04 09:21:25	 766 	c1931 	15527 	u   	d    	30217 	  180
D 	2022-02-04 09:21:25	 917 	c1931 	15527 	d   	u    	-51632 	   -5
D 	2022-02-04 09:21:26	  93 	c1931 	15528 	u   	d    	15796 	  147
D 	2022-02-04 09:21:26	 142 	c1931 	15528 	u   	d    	15796 	  147
D 	2022-02-04 09:21:26	 192 	c1931 	15528 	u   	d    	15796 	  147
D 	2022-02-04 09:21:26	 242 	c1931 	15528 	u   	d    	15796 	  147
D 	2022-02-04 09:21:26	 893 	c1931 	15528 	d   	u    	-100751 	 -117
D 	2022-02-04 09:21:27	 919 	c1931 	15529 	u   	d    	60952 	  250
D 	2022-02-04 09:21:27	 968 	c1931 	15529 	u   	d    	60952 	  250
D 	2022-02-04 09:21:27	1018 	c1931 	15529 	u   	d    	60952 	  250
D 	2022-02-04 09:21:28	  44 	c1931 	15529 	u   	d    	60952 	  250
D 	2022-02-04 09:21:28	 295 	c1931 	15529 	d   	u    	-40937 	   18
D 	2022-02-04 09:21:33	 519 	c1931 	15530 	u   	d    	-12570 	   83
D 	2022-02-04 09:21:33	 567 	c1931 	15530 	u   	d    	-12570 	   83
D 	2022-02-04 09:21:33	 617 	c1931 	15530 	u   	d    	-12570 	   83
D 	2022-02-04 09:21:33	 667 	c1931 	15530 	u   	d    	-12570 	   83
