F 	Date            	Hmsec 	ID   	Event 	State 	Rule 	IDHere 	ListAHere 	ListBHere 	ListEHere  	IDThere
D 	2022-01-25 09:29:16	  34 	c1931 	15521 	c 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:29:18	  34 	c1931 	15521 	o 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:29:20	  33 	c1931 	15521 	c 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:29:22	  33 	c1931 	15521 	o 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:29:24	  33 	c1931 	15521 	c 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:29:26	  33 	c1931 	15521 	o 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:29:28	  33 	c1931 	15521 	c 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:29:30	  34 	c1931 	15521 	o 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:29:32	  34 	c1931 	15521 	c 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:29:34	  32 	c1931 	15521 	o 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:29:36	  33 	c1931 	15521 	c 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:29:38	  32 	c1931 	15521 	o 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:29:40	  35 	c1931 	15521 	c 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:29:42	  33 	c1931 	15521 	o 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:29:44	  33 	c1931 	15521 	c 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:29:46	  35 	c1931 	15521 	o 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:29:48	  33 	c1931 	15521 	c 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:29:50	  34 	c1931 	15521 	o 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:29:52	  32 	c1931 	15521 	c 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:29:54	  34 	c1931 	15521 	o 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:29:56	  32 	c1931 	15521 	c 	23 	0000 	0 	0 	0  	0000  
D 	2022-01-25 09:29:58	  35 	c1931 	15521 	o 	23 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:12:42	 498 	c1931 	15521 	c 	8 	0000 	0 	0 	0  	0000  
T 	2022-02-04 09:12:46	 224 	c1931 	15521 
S
D 	2022-02-04 09:13:26	 245 	c1931 	15521 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:16:04	 841 	c1931 	15522 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:16:59	 667 	c1931 	15523 	o 	8 	4FEF 	3 	0 	0  	0000  
D 	2022-02-04 09:17:08	 590 	c1931 	15523 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:17:17	 316 	c1931 	15523 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:17:21	 168 	c1931 	15524 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:17:54	 493 	c1931 	15525 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:18:00	 145 	c1931 	15526 	o 	8 	4FEF 	3 	0 	0  	0000  
D 	2022-02-04 09:18:02	  94 	c1931 	15526 	o 	8 	4FEF 	3 	0 	0  	0000  
D 	2022-02-04 09:18:02	  94 	c1931 	15526 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:21:25	 917 	c1931 	15527 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:21:26	 893 	c1931 	15528 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:21:28	 295 	c1931 	15529 	c 	8 	0000 	0 	0 	0  	3F51  
D 	2022-02-04 09:21:33	 919 	c1931 	15530 	c 	8 	0000 	0 	0 	0  	3F92  
D 	2022-02-04 09:21:34	 445 	c1931 	15531 	c 	8 	0000 	0 	0 	0  	3F91  
D 	2022-02-04 09:21:40	 344 	c1931 	15532 	c 	8 	0000 	0 	0 	0  	3F9E  
D 	2022-02-04 09:21:53	 569 	c1931 	15533 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:21:53	1019 	c1931 	15534 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:21:55	 568 	c1931 	15535 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:21:58	 892 	c1931 	15536 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:22:09	  17 	c1931 	15537 	c 	8 	0000 	0 	0 	0  	3F91  
D 	2022-02-04 09:22:09	 567 	c1931 	15538 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:22:10	  91 	c1931 	15539 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:22:11	 305 	c1931 	15540 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:22:11	 684 	c1931 	15541 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:22:12	 220 	c1931 	15542 	c 	8 	0000 	0 	0 	0  	3F4A  
D 	2022-02-04 09:22:12	 697 	c1931 	15543 	c 	8 	0000 	0 	0 	0  	3FE0  
D 	2022-02-04 09:22:13	 221 	c1931 	15544 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:22:14	 724 	c1931 	15545 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:22:15	 245 	c1931 	15546 	c 	8 	0000 	0 	0 	0  	0000  
T 	2022-02-04 09:22:15	 394 	c1931 	15546 
S
D 	2022-02-04 09:22:15	 841 	c1931 	15547 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:22:16	 741 	c1931 	15548 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:22:19	 869 	c1931 	15549 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:22:21	 769 	c1931 	15550 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:22:22	 495 	c1931 	15551 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:22:22	 893 	c1931 	15552 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:22:24	 520 	c1931 	15553 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:22:27	 468 	c1931 	15554 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:22:29	 319 	c1931 	15555 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:22:30	 345 	c1931 	15556 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:22:30	 593 	c1931 	15557 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:22:31	 319 	c1931 	15558 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:22:32	  95 	c1931 	15559 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:22:33	 669 	c1931 	15560 	c 	8 	0000 	0 	0 	0  	3F60  
D 	2022-02-04 09:22:34	 643 	c1931 	15561 	c 	8 	0000 	0 	0 	0  	16CB  
D 	2022-02-04 09:22:34	 943 	c1931 	15562 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:22:39	 718 	c1931 	15563 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:22:41	  18 	c1931 	15564 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:22:44	  43 	c1931 	15565 	c 	8 	0000 	0 	0 	0  	3F93  
D 	2022-02-04 09:23:01	 318 	c1931 	15566 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:23:03	 518 	c1931 	15567 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:23:08	 394 	c1931 	15568 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:23:13	 266 	c1931 	15569 	c 	8 	0000 	0 	0 	0  	3FB7  
D 	2022-02-04 09:23:16	 119 	c1931 	15570 	c 	8 	0000 	0 	0 	0  	0000  
T 	2022-02-04 09:23:17	 223 	c1931 	15570 
S
D 	2022-02-04 09:23:17	 599 	c1931 	15571 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:23:19	  19 	c1931 	15572 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:23:20	 345 	c1931 	15573 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:23:21	  67 	c1931 	15574 	c 	8 	0000 	0 	0 	0  	3F99  
D 	2022-02-04 09:23:24	 941 	c1931 	15575 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:23:25	 667 	c1931 	15576 	c 	8 	0000 	0 	0 	0  	3F92  
D 	2022-02-04 09:23:26	 343 	c1931 	15577 	c 	8 	0000 	0 	0 	0  	3F91  
D 	2022-02-04 09:23:27	 319 	c1931 	15578 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:23:28	 345 	c1931 	15579 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:23:28	 691 	c1931 	15580 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:23:47	 717 	c1931 	15581 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:23:48	 843 	c1931 	15582 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:23:55	 269 	c1931 	15583 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:23:56	 295 	c1931 	15584 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:23:56	 740 	c1931 	15585 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:23:57	 316 	c1931 	15586 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:23:58	 792 	c1931 	15587 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:24:10	 245 	c1931 	15588 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:27:33	 719 	c1931 	15589 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:27:35	 168 	c1931 	15590 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:27:37	 969 	c1931 	15591 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:28:15	 369 	c1931 	15592 	c 	8 	0000 	0 	0 	0  	0000  
T 	2022-02-04 09:28:31	 125 	c1931 	15592 
S
D 	2022-02-04 09:35:19	 519 	c1931 	15593 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:35:38	 642 	c1931 	15594 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 09:35:45	 367 	c1931 	15595 	o 	8 	4FEF 	3 	0 	0  	0000  
D 	2022-02-04 09:35:46	  93 	c1931 	15595 	o 	8 	4FEF 	3 	0 	0  	0000  
D 	2022-02-04 09:35:46	  93 	c1931 	15595 	c 	8 	0000 	0 	0 	0  	3F60  
D 	2022-02-04 09:36:11	 667 	c1931 	15596 	c 	8 	0000 	0 	0 	0  	3FB7  
T 	2022-02-04 10:24:04	 563 	c1931 	15596 
S
D 	2022-02-04 11:06:23	 118 	c1931 	15597 	c 	8 	7DB1 	0 	0 	0  	0000  
D 	2022-02-04 11:17:58	 893 	c1931 	15598 	c 	8 	E3B3 	0 	0 	0  	3F91  
D 	2022-02-04 11:18:05	  68 	c1931 	15599 	o 	8 	3BED 	2 	0 	0  	0000  
T 	2022-02-04 11:18:34	 941 	c1931 	15599 
S
D 	2022-02-04 11:20:38	 939 	c1931 	15599 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 11:20:40	 792 	c1931 	15599 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 11:23:12	 692 	c1931 	15600 	c 	8 	E3B3 	0 	0 	0  	0000  
D 	2022-02-04 11:50:44	 494 	c1931 	15601 	o 	8 	3BED 	2 	0 	0  	0000  
D 	2022-02-04 11:50:53	 816 	c1931 	15601 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 11:51:47	 965 	c1931 	15601 	o 	8 	3BED 	2 	0 	0  	0000  
D 	2022-02-04 11:51:59	 217 	c1931 	15601 	c 	8 	0000 	0 	0 	0  	0000  
T 	2022-02-04 12:08:35	 546 	c1931 	15601 
S
D 	2022-02-04 12:20:35	 617 	c1931 	15601 	o 	8 	3BED 	2 	0 	0  	0000  
D 	2022-02-04 12:20:46	  93 	c1931 	15601 	c 	8 	0000 	0 	0 	0  	3F51  
D 	2022-02-04 12:21:37	 568 	c1931 	15601 	o 	8 	3BED 	2 	0 	0  	3F92  
D 	2022-02-04 12:21:48	 508 	c1931 	15601 	c 	8 	0000 	0 	0 	0  	0000  
