F 	Date            	Hmsec 	ID   	Event 	Tag 	EvHere 	LgrThere 	EvThere 	Owner 	NextOwner 	Reversal 	Success 	VisitHist 	SigVisits 	SuccessVisits
D 	2022-02-07 10:35:28	 352 	c1937 	 2845  	0000000000 	2845 	c   0 	   0 	c1937 	c0 	0 	0 	1111111111111111 	75 	71 	348
D 	2022-02-06 12:35:35	 772 	c1937 	 2819  	01103FE02C 	2819 	c   0 	   0 	c1937 	c0 	0 	0 	           11111 	5 	5 	6542
D 	2022-02-06 12:35:22	 321 	c1937 	 2816  	01103FE42F 	2816 	c   0 	   0 	c1937 	c0 	0 	0 	           11111 	5 	5 	3738
D 	2022-02-06 11:33:22	 445 	c1937 	 2768  	3B00183F78 	2768 	c   0 	   0 	c1937 	c0 	0 	0 	               1 	1 	1 	3
D 	2022-02-06 11:33:31	 421 	c1937 	 2769  	01103FE16A 	2769 	c   0 	   0 	c1937 	c0 	0 	0 	              11 	2 	2 	9
D 	2022-02-06 11:46:46	 368 	c1937 	 2772  	01103F9C82 	2772 	c   0 	   0 	c1937 	c0 	0 	0 	               1 	1 	1 	10
D 	2022-02-06 11:48:19	 424 	c1937 	 2777  	01103F9ECD 	2777 	c   0 	   0 	c1937 	c0 	0 	0 	               1 	1 	1 	8
D 	2022-02-06 11:56:28	 746 	c1937 	 2781  	01103FD2FF 	2781 	c   0 	   0 	c1937 	c0 	0 	0 	             111 	3 	3 	474
D 	2022-02-06 13:15:10	 953 	c1937 	 2825  	01103F3BED 	2825 	c   0 	   0 	c1937 	c0 	0 	0 	        11111111 	8 	8 	4697
D 	2022-02-06 11:59:27	 493 	c1937 	 2785  	01103FE612 	2785 	c   0 	   0 	c1937 	c0 	0 	0 	               1 	1 	1 	6
D 	2022-02-06 12:00:36	 949 	c1937 	 2786  	3B0018D8D2 	2786 	c   0 	   0 	c1937 	c0 	0 	0 	               1 	1 	1 	6
D 	2022-02-06 12:25:54	 417 	c1937 	 2806  	01103F6817 	2806 	c   0 	   0 	c1937 	c0 	0 	0 	            1111 	4 	4 	800
D 	2022-02-06 14:16:15	 498 	c1937 	 2827  	01103FE111 	2827 	c   0 	   0 	c1937 	c0 	0 	0 	        11111111 	8 	8 	7373
D 	2022-02-06 12:17:12	 149 	c1937 	 2799  	3B00193C3E 	2799 	c   0 	   0 	c1937 	c0 	0 	0 	               1 	1 	1 	11
D 	2022-02-06 12:17:43	 642 	c1937 	 2803  	01103FD3AC 	2803 	c   0 	   0 	c1937 	c0 	0 	0 	              11 	2 	2 	9
D 	2022-02-06 12:20:59	 544 	c1937 	 2804  	011016E61D 	2804 	c   0 	   0 	c1937 	c0 	0 	0 	               1 	1 	1 	4
D 	2022-02-06 12:32:30	  18 	c1937 	 2813  	01103F7DB1 	2813 	c   0 	   0 	c1937 	c0 	0 	0 	               1 	1 	1 	11
D 	2022-02-06 12:32:39	 576 	c1937 	 2814  	01103FA467 	2814 	c   0 	   0 	c1937 	c0 	0 	0 	               1 	1 	1 	6
D 	2022-02-06 12:38:38	 502 	c1937 	 2821  	3B0018D076 	2821 	c   0 	   0 	c1937 	c0 	0 	0 	               1 	1 	1 	3
D 	2022-02-06 13:15:43	 481 	c1937 	 2826  	01103FE3B3 	2826 	c   0 	   0 	c1937 	c0 	0 	0 	               1 	1 	1 	2
D 	2022-02-07 10:29:55	 496 	c1937 	 2836  	0300024FEF 	2836 	c   0 	   0 	c1937 	c0 	0 	0 	              11 	2 	2 	0
T 	2022-02-07 10:35:29	 586 	c1937 	 2846 
S
D 	2022-02-07 10:35:41	1011 	c1937 	 2863  	0000000000 	2863 	c   0 	   0 	c1937 	c0 	0 	0 	1111111111111111 	93 	88 	361
D 	2022-02-06 12:35:35	 772 	c1937 	 2819  	01103FE02C 	2819 	c   0 	   0 	c1937 	c0 	0 	0 	           11111 	5 	5 	6542
D 	2022-02-06 12:35:22	 321 	c1937 	 2816  	01103FE42F 	2816 	c   0 	   0 	c1937 	c0 	0 	0 	           11111 	5 	5 	3738
D 	2022-02-06 11:33:22	 445 	c1937 	 2768  	3B00183F78 	2768 	c   0 	   0 	c1937 	c0 	0 	0 	               1 	1 	1 	3
D 	2022-02-06 11:33:31	 421 	c1937 	 2769  	01103FE16A 	2769 	c   0 	   0 	c1937 	c0 	0 	0 	              11 	2 	2 	9
D 	2022-02-06 11:46:46	 368 	c1937 	 2772  	01103F9C82 	2772 	c   0 	   0 	c1937 	c0 	0 	0 	               1 	1 	1 	10
D 	2022-02-06 11:48:19	 424 	c1937 	 2777  	01103F9ECD 	2777 	c   0 	   0 	c1937 	c0 	0 	0 	               1 	1 	1 	8
D 	2022-02-06 11:56:28	 746 	c1937 	 2781  	01103FD2FF 	2781 	c   0 	   0 	c1937 	c0 	0 	0 	             111 	3 	3 	474
D 	2022-02-06 13:15:10	 953 	c1937 	 2825  	01103F3BED 	2825 	c   0 	   0 	c1937 	c0 	0 	0 	        11111111 	8 	8 	4697
D 	2022-02-06 11:59:27	 493 	c1937 	 2785  	01103FE612 	2785 	c   0 	   0 	c1937 	c0 	0 	0 	               1 	1 	1 	6
D 	2022-02-06 12:00:36	 949 	c1937 	 2786  	3B0018D8D2 	2786 	c   0 	   0 	c1937 	c0 	0 	0 	               1 	1 	1 	6
D 	2022-02-06 12:25:54	 417 	c1937 	 2806  	01103F6817 	2806 	c   0 	   0 	c1937 	c0 	0 	0 	            1111 	4 	4 	800
