F 	Date            	Hmsec 	ID   	Event 	Old 	New 	Strain 	~Weight
D 	2022-02-07 10:35:31	 859 	c1937 	 2849 	d   	u    	218126 	  -86
D 	2022-02-07 10:35:31	 959 	c1937 	 2850 	u   	d    	331691 	  194
D 	2022-02-07 10:35:31	1008 	c1937 	 2850 	u   	d    	331691 	  194
D 	2022-02-07 10:35:32	  34 	c1937 	 2850 	u   	d    	331691 	  194
D 	2022-02-07 10:35:32	  84 	c1937 	 2850 	u   	d    	331691 	  194
D 	2022-02-07 10:35:32	 285 	c1937 	 2850 	d   	u    	198594 	 -134
D 	2022-02-07 10:35:32	 486 	c1937 	 2851 	u   	d    	348797 	  236
D 	2022-02-07 10:35:32	 534 	c1937 	 2851 	u   	d    	348797 	  236
D 	2022-02-07 10:35:32	 584 	c1937 	 2851 	u   	d    	348797 	  236
D 	2022-02-07 10:35:32	 634 	c1937 	 2851 	u   	d    	348797 	  236
D 	2022-02-07 10:35:33	 361 	c1937 	 2851 	d   	u    	229154 	  -59
D 	2022-02-07 10:35:33	 556 	c1937 	 2852 	u   	d    	318581 	  161
D 	2022-02-07 10:35:33	 605 	c1937 	 2852 	u   	d    	318581 	  161
D 	2022-02-07 10:35:33	 655 	c1937 	 2852 	u   	d    	318581 	  161
D 	2022-02-07 10:35:33	 705 	c1937 	 2852 	u   	d    	318581 	  161
D 	2022-02-07 10:35:33	 856 	c1937 	 2852 	d   	u    	221330 	  -78
D 	2022-02-07 10:35:34	  32 	c1937 	 2853 	u   	d    	344263 	  225
D 	2022-02-07 10:35:34	  81 	c1937 	 2853 	u   	d    	344263 	  225
D 	2022-02-07 10:35:34	 131 	c1937 	 2853 	u   	d    	344263 	  225
D 	2022-02-07 10:35:34	 181 	c1937 	 2853 	u   	d    	344263 	  225
D 	2022-02-07 10:35:34	 382 	c1937 	 2853 	d   	u    	197105 	 -138
D 	2022-02-07 10:35:34	 682 	c1937 	 2854 	u   	d    	335178 	  202
D 	2022-02-07 10:35:34	 731 	c1937 	 2854 	u   	d    	335178 	  202
D 	2022-02-07 10:35:34	 781 	c1937 	 2854 	u   	d    	335178 	  202
D 	2022-02-07 10:35:34	 831 	c1937 	 2854 	u   	d    	335178 	  202
D 	2022-02-07 10:35:34	 882 	c1937 	 2854 	d   	u    	181247 	 -177
D 	2022-02-07 10:35:35	 158 	c1937 	 2855 	u   	d    	338375 	  210
D 	2022-02-07 10:35:35	 207 	c1937 	 2855 	u   	d    	338375 	  210
D 	2022-02-07 10:35:35	 257 	c1937 	 2855 	u   	d    	338375 	  210
D 	2022-02-07 10:35:35	 307 	c1937 	 2855 	u   	d    	338375 	  210
D 	2022-02-07 10:35:35	 358 	c1937 	 2855 	d   	u    	138081 	 -284
D 	2022-02-07 10:35:35	 558 	c1937 	 2856 	u   	d    	331655 	  194
D 	2022-02-07 10:35:35	 607 	c1937 	 2856 	u   	d    	331655 	  194
D 	2022-02-07 10:35:35	 657 	c1937 	 2856 	u   	d    	331655 	  194
D 	2022-02-07 10:35:35	 707 	c1937 	 2856 	u   	d    	331655 	  194
D 	2022-02-07 10:35:36	 234 	c1937 	 2856 	d   	u    	237875 	  -37
D 	2022-02-07 10:35:36	 334 	c1937 	 2857 	u   	d    	311699 	  144
D 	2022-02-07 10:35:36	 383 	c1937 	 2857 	u   	d    	311699 	  144
D 	2022-02-07 10:35:36	 433 	c1937 	 2857 	u   	d    	311699 	  144
D 	2022-02-07 10:35:36	 483 	c1937 	 2857 	u   	d    	311699 	  144
D 	2022-02-07 10:35:36	 534 	c1937 	 2857 	d   	u    	211771 	 -102
D 	2022-02-07 10:35:36	 884 	c1937 	 2858 	u   	d    	389522 	  337
D 	2022-02-07 10:35:36	 933 	c1937 	 2858 	u   	d    	389522 	  337
D 	2022-02-07 10:35:36	 983 	c1937 	 2858 	u   	d    	389522 	  337
D 	2022-02-07 10:35:37	   9 	c1937 	 2858 	u   	d    	389522 	  337
D 	2022-02-07 10:35:37	 560 	c1937 	 2858 	d   	u    	244018 	  -22
D 	2022-02-07 10:35:37	 860 	c1937 	 2859 	u   	d    	347039 	  232
D 	2022-02-07 10:35:37	 909 	c1937 	 2859 	u   	d    	347039 	  232
D 	2022-02-07 10:35:37	 959 	c1937 	 2859 	u   	d    	347039 	  232
D 	2022-02-07 10:35:37	1009 	c1937 	 2859 	u   	d    	347039 	  232
D 	2022-02-07 10:35:38	 725 	c1937 	 2859 	d   	u    	228276 	  -61
D 	2022-02-07 10:35:39	   2 	c1937 	 2860 	u   	d    	361891 	  268
D 	2022-02-07 10:35:39	  50 	c1937 	 2860 	u   	d    	361891 	  268
