"TagID_hex"	"learningPhase"	"criterion"	"btoRingType"	"btoID"	"species"	"age"	"sex"	"wing"	"weight"
"01103F7A57"	"IL"	20	"N"	"ABR6163"	"BT"	4	"M"	67	10.6
"01103F7A57"	"RL1"	NA	"N"	"ABR6163"	"BT"	4	"M"	67	10.6
"01103F9E19"	"IL"	36	"N"	"ABR6082"	"BT"	3	"U"	61	9.8
"01103F9E19"	"RL1"	39	"N"	"ABR6082"	"BT"	3	"U"	61	9.8
"01103F9E19"	"RL2"	22	"N"	"ABR6082"	"BT"	3	"U"	61	9.8
"01103FA023"	"RL1"	NA	"N"	"ABR6443"	"BT"	3	"F"	62	10.5
"01103FA038"	"IL"	20	"N"	"ABR6414"	"BT"	3	"M"	63	10.6
"01103FA038"	"RL1"	44	"N"	"ABR6414"	"BT"	3	"M"	63	10.6
"01103FA038"	"RL2"	28	"N"	"ABR6414"	"BT"	3	"M"	63	10.6
"01103FA060"	"IL"	36	"N"	"ABR6212"	"BT"	3	"M"	65	11.1
"01103FA060"	"RL1"	NA	"N"	"ABR6212"	"BT"	3	"M"	65	11.1
"01103FA0FD"	"IL"	20	"N"	"ABR6272"	"BT"	3	"M"	66	10.9
"01103FA0FD"	"RL1"	NA	"N"	"ABR6272"	"BT"	3	"M"	66	10.9
"01103FA0FD"	"RL2"	72	"N"	"ABR6272"	"BT"	3	"M"	66	10.9
"01103FA11E"	"IL"	23	"N"	"ABR6413"	"BT"	3	"M"	63	10.1
"01103FA11E"	"RL1"	51	"N"	"ABR6413"	"BT"	3	"M"	63	10.1
"01103FA11E"	"RL2"	20	"N"	"ABR6413"	"BT"	3	"M"	63	10.1
"01103FA225"	"IL"	21	"N"	"ABR6204"	"BT"	4	"F"	64	11.2
"01103FA225"	"RL1"	NA	"N"	"ABR6204"	"BT"	4	"F"	64	11.2
"01103FA225"	"RL2"	26	"N"	"ABR6204"	"BT"	4	"F"	64	11.2
"01103FA4AE"	"RL2"	60	"N"	"ABR6093"	"BT"	3	"M"	64	11.3
"01103FA593"	"IL"	20	"R"	"AEP3416"	"BT"	4	"M"	64	10.6
"01103FA593"	"RL1"	NA	"R"	"AEP3416"	"BT"	4	"M"	64	10.6
"01103FA63B"	"IL"	20	"N"	"ABR6402"	"BT"	3	"F"	64	10.7
"01103FA63B"	"RL1"	NA	"N"	"ABR6402"	"BT"	3	"F"	64	10.7
"01103FA63B"	"RL2"	NA	"N"	"ABR6402"	"BT"	3	"F"	64	10.7
"01103FA64D"	"RL1"	NA	"R"	"ABR6411"	"BT"	4	"M"	64	10.9
"01103FAA4E"	"IL"	NA	"N"	"ABR6470"	"GT"	4	"F"	75	17.5
"01103FAA4E"	"RL1"	131	"N"	"ABR6470"	"GT"	4	"F"	75	17.5
"01103FAA4E"	"RL2"	25	"N"	"ABR6470"	"GT"	4	"F"	75	17.5
"01103FB23C"	"RL1"	20	"N"	"ABR6546"	"BT"	3	"F"	61	11.1
"01103FB23C"	"RL2"	34	"N"	"ABR6546"	"BT"	3	"F"	61	11.1
"01103FB3AB"	"RL1"	79	"N"	"ABR6407"	"BT"	3	"M"	64	10.9
"01103FB3AB"	"RL2"	34	"N"	"ABR6407"	"BT"	3	"M"	64	10.9
"01103FB8A7"	"IL"	20	"R"	"ABR7088"	"GT"	4	"F"	73	19.4
"01103FB8A7"	"RL1"	199	"R"	"ABR7088"	"GT"	4	"F"	73	19.4
"01103FBD09"	"IL"	27	"N"	"ABR6409"	"BT"	3	"M"	66	11.8
"01103FBD09"	"RL1"	NA	"N"	"ABR6409"	"BT"	3	"M"	66	11.8
"01103FBD09"	"RL2"	139	"N"	"ABR6409"	"BT"	3	"M"	66	11.8
"01103FC0A0"	"IL"	24	"N"	"ABR6183"	"BT"	4	"F"	62	10.5
"01103FC0A0"	"RL1"	33	"N"	"ABR6183"	"BT"	4	"F"	62	10.5
"01103FC0A0"	"RL2"	28	"N"	"ABR6183"	"BT"	4	"F"	62	10.5
"01103FC9E8"	"IL"	20	"N"	"ABR6162"	"BT"	3	"M"	63	11.5
"01103FC9E8"	"RL1"	NA	"N"	"ABR6162"	"BT"	3	"M"	63	11.5
"01103FC9E8"	"RL2"	42	"N"	"ABR6162"	"BT"	3	"M"	63	11.5
"01103FCD75"	"RL1"	20	"N"	"ABR6412"	"BT"	4	"M"	66	10.5
"01103FE611"	"IL"	20	"N"	"ABR6036"	"GT"	3	"M"	76	18.6
