F 	Date            	Hmsec 	ID   	Event 	Old 	New 	Strain 	~Weight
D 	2022-02-04 09:16:45	 166 	c1935 	   82 	u   	d    	49538 	  104
D 	2022-02-04 09:16:45	 215 	c1935 	   82 	u   	d    	49538 	  104
D 	2022-02-04 09:16:45	 265 	c1935 	   82 	u   	d    	49538 	  104
D 	2022-02-04 09:16:45	 315 	c1935 	   82 	u   	d    	49538 	  104
D 	2022-02-04 09:16:46	 192 	c1935 	   82 	d   	u    	49472 	    0
D 	2022-02-04 09:17:11	 816 	c1935 	   83 	u   	d    	322705 	  516
D 	2022-02-04 09:17:11	 865 	c1935 	   83 	u   	d    	322705 	  516
D 	2022-02-04 09:17:12	 642 	c1935 	   83 	d   	u    	60745 	   21
D 	2022-02-04 09:18:30	 240 	c1935 	   84 	u   	d    	54301 	  104
D 	2022-02-04 09:18:30	 289 	c1935 	   84 	u   	d    	54301 	  104
D 	2022-02-04 09:18:30	 339 	c1935 	   84 	u   	d    	54301 	  104
D 	2022-02-04 09:18:30	 389 	c1935 	   84 	u   	d    	54301 	  104
D 	2022-02-04 09:18:31	 266 	c1935 	   84 	d   	u    	54277 	    0
D 	2022-02-04 09:20:09	 267 	c1935 	   85 	u   	d    	113086 	  113
D 	2022-02-04 09:20:09	 316 	c1935 	   85 	u   	d    	113086 	  113
D 	2022-02-04 09:20:09	 366 	c1935 	   85 	u   	d    	113086 	  113
D 	2022-02-04 09:20:09	 416 	c1935 	   85 	u   	d    	113086 	  113
D 	2022-02-04 09:20:09	 663 	c1935 	   85 	d   	u    	58337 	    7
D 	2022-02-04 09:20:48	 442 	c1935 	   86 	u   	d    	103014 	   91
D 	2022-02-04 09:20:48	 491 	c1935 	   86 	u   	d    	103014 	   91
D 	2022-02-04 09:20:48	 541 	c1935 	   86 	u   	d    	103014 	   91
D 	2022-02-04 09:20:48	 591 	c1935 	   86 	u   	d    	103014 	   91
D 	2022-02-04 09:20:48	 842 	c1935 	   86 	d   	u    	71081 	   29
D 	2022-02-04 09:21:41	1016 	c1935 	   87 	u   	d    	168531 	  218
D 	2022-02-04 09:21:42	  40 	c1935 	   87 	u   	d    	168531 	  218
D 	2022-02-04 09:21:42	  90 	c1935 	   87 	u   	d    	168531 	  218
D 	2022-02-04 09:21:42	 140 	c1935 	   87 	u   	d    	168531 	  218
D 	2022-02-04 09:21:42	 192 	c1935 	   87 	d   	u    	66793 	   21
D 	2022-02-04 09:21:43	 118 	c1935 	   88 	u   	d    	122683 	  129
D 	2022-02-04 09:21:43	 166 	c1935 	   88 	u   	d    	122683 	  129
D 	2022-02-04 09:21:43	 216 	c1935 	   88 	u   	d    	122683 	  129
D 	2022-02-04 09:21:43	 266 	c1935 	   88 	u   	d    	122683 	  129
D 	2022-02-04 09:21:43	 418 	c1935 	   88 	d   	u    	-122634 	 -345
D 	2022-02-04 09:21:44	 690 	c1935 	   89 	u   	d    	107830 	  100
D 	2022-02-04 09:21:44	 738 	c1935 	   89 	u   	d    	107830 	  100
D 	2022-02-04 09:21:44	 788 	c1935 	   89 	u   	d    	107830 	  100
D 	2022-02-04 09:21:44	 838 	c1935 	   89 	u   	d    	107830 	  100
D 	2022-02-04 09:21:44	 890 	c1935 	   89 	d   	u    	-59637 	 -223
