"chNtimeDate25"	"timeDate"	"RFID"
"AXX03270611150120"	"270611150120"	"103F4BA3"
"AXX08270611150120"	"270611150120"	"103F4BA3"
"AXX14270611150120"	"270611150120"	"103F4BA3"
"AXX14010711150120"	"010711150120"	"103F4BA3"
"AXX04020711150120"	"020711150120"	"103F4BA3"
"AXX09020711150120"	"020711150120"	"103F4BA3"
"AXX14020711150120"	"020711150120"	"103F4BA3"
"AXX00510711150120"	"510711150120"	"103F4BA3"
"AXX05510711150120"	"510711150120"	"103F4BA3"
"AXX10510711150120"	"510711150120"	"103F4BA3"
"AXX15510711150120"	"510711150120"	"103F4BA3"
"AXX05520711150120"	"520711150120"	"103F4BA3"
"AXX10520711150120"	"520711150120"	"103F4BA3"
"AXX12560711150120"	"560711150120"	"1016E7E1"
"AXX02570711150120"	"570711150120"	"1016E7E1"
"AXX07570711150120"	"570711150120"	"1016E7E1"
"AXX12570711150120"	"570711150120"	"1016E7E1"
"AXX01580711150120"	"580711150120"	"1016E7E1"
"AXX00590711150120"	"590711150120"	"1016E7E1"
"AXX02010811150120"	"010811150120"	"103F8CAA"
"AXX08010811150120"	"010811150120"	"103F8CAA"
"AXX13010811150120"	"010811150120"	"103F8CAA"
"AXX08280811150120"	"280811150120"	"10174F80"
"AXX14280811150120"	"280811150120"	"10174F80"
"AXX03290811150120"	"290811150120"	"10174F80"
"AXX08290811150120"	"290811150120"	"10174F80"
"AXX14290811150120"	"290811150120"	"10174F80"
"AXX03300811150120"	"300811150120"	"10174F80"
"AXX08300811150120"	"300811150120"	"10174F80"
"AXX14300811150120"	"300811150120"	"10174F80"
"AXX03310811150120"	"310811150120"	"10174F80"
"AXX08310811150120"	"310811150120"	"10174F80"
"AXX13310811150120"	"310811150120"	"10174F80"
"AXX03320811150120"	"320811150120"	"10174F80"
"AXX08320811150120"	"320811150120"	"10174F80"
"AXX15450911150120"	"450911150120"	"103F4254"
"AXX08560911150120"	"560911150120"	"103F8CAA"
"AXX13560911150120"	"560911150120"	"103F8CAA"
"AXX12011011150120"	"011011150120"	"1016C2DE"
"AXX01021011150120"	"021011150120"	"1016C2DE"
"AXX06021011150120"	"021011150120"	"1016C2DE"
"AXX12021011150120"	"021011150120"	"1016C2DE"
"AXX01031011150120"	"031011150120"	"1016C2DE"
"AXX06031011150120"	"031011150120"	"1016C2DE"
"AXX12031011150120"	"031011150120"	"1016C2DE"
"AXX01041011150120"	"041011150120"	"1016C2DE"
"AXX15431011150120"	"431011150120"	"1016C2DE"
"AXX04441011150120"	"441011150120"	"1016C2DE"
"AXX09441011150120"	"441011150120"	"1016C2DE"
"AXX15511011150120"	"511011150120"	"1016C970"
"AXX15581211150120"	"581211150120"	"101715AF"
"AXX05591211150120"	"591211150120"	"101715AF"
"AXX10591211150120"	"591211150120"	"101715AF"
"AXX15591211150120"	"591211150120"	"101715AF"
"AXX05001311150120"	"001311150120"	"101715AF"
"AXX12091311150120"	"091311150120"	"10174F80"
"AXX02101311150120"	"101311150120"	"10174F80"
"AXX07101311150120"	"101311150120"	"10174F80"
"AXX12101311150120"	"101311150120"	"10174F80"
"AXX02111311150120"	"111311150120"	"10174F80"
"AXX15241511150120"	"241511150120"	"10174F80"
"AXX05251511150120"	"251511150120"	"10174F80"
"AXX10251511150120"	"251511150120"	"10174F80"
"AXX15251511150120"	"251511150120"	"10174F80"
"AXX05261511150120"	"261511150120"	"10174F80"
"AXX10261511150120"	"261511150120"	"10174F80"
"AXX15261511150120"	"261511150120"	"10174F80"
"AXX05271511150120"	"271511150120"	"10174F80"
"AXX10271511150120"	"271511150120"	"10174F80"
"AXX15271511150120"	"271511150120"	"10174F80"
"AXX05281511150120"	"281511150120"	"10174F80"
"AXX10421511150120"	"421511150120"	"103F6143"
"AXX00431511150120"	"431511150120"	"103F6143"
"AXX05431511150120"	"431511150120"	"103F6143"
"AXX10431511150120"	"431511150120"	"103F6143"
"AXX15431711150120"	"431711150120"	"103F6143"
"AXX04441711150120"	"441711150120"	"103F6143"
"AXX09441711150120"	"441711150120"	"103F6143"
"AXX15441711150120"	"441711150120"	"103F6143"
"AXX13131811150120"	"131811150120"	"1016A405"
"AXX02141811150120"	"141811150120"	"1016A405"
"AXX01151811150120"	"151811150120"	"1016A405"
"AXX12181811150120"	"181811150120"	"1016DEBD"
"AXX01191811150120"	"191811150120"	"1016DEBD"
"AXX05341811150120"	"341811150120"	"1016A405"
"AXX11341811150120"	"341811150120"	"1016A405"
"AXX04481811150120"	"481811150120"	"1016DEBD"
"AXX09481811150120"	"481811150120"	"1016DEBD"
"AXX15481811150120"	"481811150120"	"1016DEBD"
"AXX04491811150120"	"491811150120"	"1016DEBD"
"AXX09491811150120"	"491811150120"	"1016DEBD"
"AXX14491811150120"	"491811150120"	"1016DEBD"
"AXX04501811150120"	"501811150120"	"1016DEBD"
"AXX14591811150120"	"591811150120"	"103F6143"
"AXX03001911150120"	"001911150120"	"103F6143"
"AXX02011911150120"	"011911150120"	"103FAE1E"
"AXX05081911150120"	"081911150120"	"1016A405"
"AXX10081911150120"	"081911150120"	"1016A405"
"AXX00221911150120"	"221911150120"	"1016DEBD"
"AXX05221911150120"	"221911150120"	"1016DEBD"
"AXX15541911150120"	"541911150120"	"101706A5"
"AXX04551911150120"	"551911150120"	"101706A5"
"AXX09551911150120"	"551911150120"	"101706A5"
"AXX15551911150120"	"551911150120"	"101706A5"
"AXX04561911150120"	"561911150120"	"101706A5"
"AXX10591911150120"	"591911150120"	"1016DEBD"
"AXX15591911150120"	"591911150120"	"1016DEBD"
"AXX05002011150120"	"002011150120"	"1016DEBD"
"AXX10002011150120"	"002011150120"	"1016DEBD"
"AXX00202011150120"	"202011150120"	"1016A405"
"AXX05202011150120"	"202011150120"	"1016A405"
"AXX09212011150120"	"212011150120"	"1016A405"
"AXX14282011150120"	"282011150120"	"1016C2C7"
"AXX04292011150120"	"292011150120"	"1016C2C7"
"AXX09292011150120"	"292011150120"	"1016C2C7"
"AXX14292011150120"	"292011150120"	"1016C2C7"
"AXX04302011150120"	"302011150120"	"1016C2C7"
"AXX09302011150120"	"302011150120"	"1016C2C7"
"AXX07392011150120"	"392011150120"	"101706A5"
"AXX12392011150120"	"392011150120"	"101706A5"
"AXX01402011150120"	"402011150120"	"101706A5"
"AXX07402011150120"	"402011150120"	"101706A5"
"AXX12402011150120"	"402011150120"	"101706A5"
"AXX01412011150120"	"412011150120"	"101706A5"
"AXX05312111150120"	"312111150120"	"1016C2C7"
"AXX10312111150120"	"312111150120"	"1016C2C7"
"AXX00322111150120"	"322111150120"	"1016C2C7"
"AXX00382111150120"	"382111150120"	"1016C970"
"AXX05382111150120"	"382111150120"	"1016C970"
"AXX05402111150120"	"402111150120"	"1016C970"
"AXX11592111150120"	"592111150120"	"1016C2C7"
"AXX01002211150120"	"002211150120"	"1016C2C7"
"AXX06002211150120"	"002211150120"	"1016C2C7"
"AXX11002211150120"	"002211150120"	"1016C2C7"
"AXX00012211150120"	"012211150120"	"1016C2C7"
"AXX08212211150120"	"212211150120"	"101706A5"
"AXX13212211150120"	"212211150120"	"101706A5"
"AXX03222211150120"	"222211150120"	"101706A5"
"AXX12042311150120"	"042311150120"	"1016C2C7"
"AXX01052311150120"	"052311150120"	"1016C2C7"
"AXX07052311150120"	"052311150120"	"1016C2C7"
"AXX12052311150120"	"052311150120"	"1016C2C7"
"AXX01062311150120"	"062311150120"	"1016C2C7"
"AXX01082311150120"	"082311150120"	"101706A5"
"AXX06082311150120"	"082311150120"	"101706A5"
"AXX12082311150120"	"082311150120"	"101706A5"
"AXX01092311150120"	"092311150120"	"101706A5"
"AXX06092311150120"	"092311150120"	"101706A5"
"AXX11092311150120"	"092311150120"	"101706A5"
"AXX01102311150120"	"102311150120"	"101706A5"
"AXX06102311150120"	"102311150120"	"101706A5"
"AXX11102311150120"	"102311150120"	"101706A5"
"AXX10152411150120"	"152411150120"	"101706A5"
"AXX15152411150120"	"152411150120"	"101706A5"
"AXX04162411150120"	"162411150120"	"101706A5"
"AXX10162411150120"	"162411150120"	"101706A5"
"AXX15162411150120"	"162411150120"	"101706A5"
"AXX14332611150120"	"332611150120"	"103F4206"
"AXX04342611150120"	"342611150120"	"103F4206"
"AXX09342611150120"	"342611150120"	"103F4206"
"AXX14342611150120"	"342611150120"	"103F4206"
"AXX05212711150120"	"212711150120"	"1016F407"
"AXX10212711150120"	"212711150120"	"1016F407"
"AXX15212711150120"	"212711150120"	"1016F407"
"AXX05222711150120"	"222711150120"	"1016F407"
"AXX06232711150120"	"232711150120"	"103F4206"
"AXX11232711150120"	"232711150120"	"103F4206"
"AXX01242711150120"	"242711150120"	"103F4206"
"AXX06242711150120"	"242711150120"	"103F4206"
"AXX00342711150120"	"342711150120"	"1016C2DE"
"AXX05342711150120"	"342711150120"	"1016C2DE"
"AXX11342711150120"	"342711150120"	"1016C2DE"
"AXX00352711150120"	"352711150120"	"1016C2DE"
"AXX05352711150120"	"352711150120"	"1016C2DE"
"AXX01532711150120"	"532711150120"	"103F7A32"
"AXX06532711150120"	"532711150120"	"103F7A32"
"AXX12532711150120"	"532711150120"	"103F7A32"
"AXX01542711150120"	"542711150120"	"103F7A32"
"AXX06542711150120"	"542711150120"	"103F7A32"
"AXX10012811150120"	"012811150120"	"1016F407"
"AXX15012811150120"	"012811150120"	"1016F407"
"AXX04022811150120"	"022811150120"	"1016F407"
"AXX10022811150120"	"022811150120"	"1016F407"
"AXX15022811150120"	"022811150120"	"1016F407"
"AXX04032811150120"	"032811150120"	"1016F407"
"AXX09032811150120"	"032811150120"	"1016F407"
"AXX15032811150120"	"032811150120"	"1016F407"
"AXX04042811150120"	"042811150120"	"1016F407"
"AXX01322811150120"	"322811150120"	"103F7A32"
"AXX06322811150120"	"322811150120"	"103F7A32"
"AXX11322811150120"	"322811150120"	"103F7A32"
"AXX01332811150120"	"332811150120"	"103F7A32"
"AXX06332811150120"	"332811150120"	"103F7A32"
"AXX11332811150120"	"332811150120"	"103F7A32"
"AXX08372811150120"	"372811150120"	"1016F437"
"AXX14372811150120"	"372811150120"	"1016F437"
"AXX03382811150120"	"382811150120"	"1016F437"
"AXX08382811150120"	"382811150120"	"1016F437"
"AXX14382811150120"	"382811150120"	"1016F437"
"AXX03392811150120"	"392811150120"	"1016F437"
"AXX02042911150120"	"042911150120"	"1016F407"
"AXX07042911150120"	"042911150120"	"1016F407"
"AXX12042911150120"	"042911150120"	"1016F407"
"AXX15092911150120"	"092911150120"	"103F7A32"
"AXX05102911150120"	"102911150120"	"103F7A32"
"AXX10102911150120"	"102911150120"	"103F7A32"
"AXX15102911150120"	"102911150120"	"103F7A32"
"AXX05112911150120"	"112911150120"	"103F7A32"
"AXX10112911150120"	"112911150120"	"103F7A32"
